#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
4000	62555.5390625	9968.62186049	118.414637716	6749.99980563	0.00166053883015	0
8000	62576.203125	9984.59334678	118.604358802	6749.99980563	0.00166053883015	9.38e+03
12000	62534.84375	10303.0668669	122.387422001	6749.99980563	0.00166053883015	9.25e+03
16000	62544.375	9938.84023869	118.060869662	6749.99980563	0.00166053883015	9.29e+03
20000	62570.3359375	10325.7444159	122.656802643	6749.99980563	0.00166053883015	9.28e+03
24000	62537.328125	10184.3262349	120.976933258	6749.99980563	0.00166053883015	9.29e+03
28000	62529.15625	10090.9236295	119.86742827	6749.99980563	0.00166053883015	9.28e+03
32000	62579.2734375	10205.4029863	121.227298446	6749.99980563	0.00166053883015	9.27e+03
36000	62544.453125	10101.9827438	119.998796581	6749.99980563	0.00166053883015	9.26e+03
40000	62546.1015625	10186.7668451	121.005924624	6749.99980563	0.00166053883015	9.24e+03
44000	62521.3046875	10261.7631049	121.896785474	6749.99980563	0.00166053883015	9.24e+03
48000	62534.546875	10085.0329078	119.797453936	6749.99980563	0.00166053883015	9.24e+03
52000	62541.7109375	10183.1950333	120.963496012	6749.99980563	0.00166053883015	9.23e+03
56000	62574.90625	10163.2800913	120.726931652	6749.99980563	0.00166053883015	9.23e+03
60000	62528.703125	10090.453032	119.861838165	6749.99980563	0.00166053883015	9.21e+03
64000	62513.71875	10223.8179611	121.446045088	6749.99980563	0.00166053883015	9.21e+03
68000	62548.171875	9987.84863281	118.643027489	6749.99980563	0.00166053883015	9.2e+03
72000	62586.1484375	9994.99099057	118.727869678	6749.99980563	0.00166053883015	9.2e+03
76000	62553.7382812	10095.674168	119.923858667	6749.99980563	0.00166053883015	9.2e+03
80000	62528.0234375	10101.4937072	119.992987443	6749.99980563	0.00166053883015	9.19e+03
84000	62573.3203125	10210.5755852	121.288742387	6749.99980563	0.00166053883015	9.18e+03
88000	62539.6015625	9997.02077684	118.751980976	6749.99980563	0.00166053883015	9.18e+03
92000	62508.8515625	10158.9176552	120.675111421	6749.99980563	0.00166053883015	9.18e+03
96000	62530.3515625	10233.366732	121.559472427	6749.99980563	0.00166053883015	9.17e+03
100000	62563.8789062	10101.5075446	119.993151814	6749.99980563	0.00166053883015	9.17e+03
