POTENTIAL AA

arg         target      
5.0005e-02  2.4121e+00  
9.9754e-02  9.6485e+00  
1.4950e-01  2.2312e+01  
1.9925e-01  4.7639e+01  
2.4900e-01  8.2414e+01  
2.9875e-01  1.3659e+02  
3.4850e-01  2.1769e+02  
3.9825e-01  3.4333e+02  
4.4800e-01  5.2021e+02  
4.9774e-01  7.7912e+02  
5.4749e-01  1.1336e+03  
5.9724e-01  1.6105e+03  
6.4699e-01  2.2069e+03  
6.9674e-01  2.9895e+03  
7.4649e-01  3.9681e+03  
7.9624e-01  5.0276e+03  
8.4599e-01  6.3586e+03  
8.9573e-01  7.7704e+03  
9.4548e-01  9.2346e+03  
9.9523e-01  1.0808e+04  
1.0450e+00  1.2397e+04  
1.0947e+00  1.3993e+04  
1.1445e+00  1.5541e+04  
1.1942e+00  1.6949e+04  
1.2440e+00  1.8406e+04  
1.2937e+00  1.9772e+04  
1.3435e+00  2.1088e+04  
1.3932e+00  2.2522e+04  
1.4430e+00  2.3783e+04  
1.4927e+00  2.5093e+04  
1.5425e+00  2.6465e+04  
1.5922e+00  2.8049e+04  
1.6420e+00  2.9515e+04  
1.6917e+00  3.1058e+04  
1.7415e+00  3.2873e+04  
1.7912e+00  3.4552e+04  
1.8410e+00  3.6399e+04  
1.8907e+00  3.8487e+04  
1.9405e+00  4.0608e+04  
1.9902e+00  4.2809e+04  
2.0400e+00  4.5027e+04  
2.0897e+00  4.7359e+04  
2.1395e+00  4.9672e+04  
2.1892e+00  5.2239e+04  
2.2389e+00  5.4936e+04  
2.2887e+00  5.7283e+04  
2.3384e+00  5.9888e+04  
2.3882e+00  6.2547e+04  
2.4379e+00  6.5216e+04  
2.4877e+00  6.7881e+04  
2.5374e+00  7.0637e+04  
2.5872e+00  7.3502e+04  
2.6369e+00  7.6436e+04  
2.6867e+00  7.9281e+04  
2.7364e+00  8.2081e+04  
2.7862e+00  8.4961e+04  
2.8359e+00  8.7997e+04  
2.8857e+00  9.1176e+04  
2.9354e+00  9.4391e+04  
2.9852e+00  9.7340e+04  
3.0349e+00  1.0067e+05  
3.0847e+00  1.0404e+05  
3.1344e+00  1.0710e+05  
3.1842e+00  1.1074e+05  
3.2339e+00  1.1418e+05  
3.2837e+00  1.1758e+05  
3.3334e+00  1.2126e+05  
3.3832e+00  1.2488e+05  
3.4329e+00  1.2871e+05  
3.4827e+00  1.3248e+05  
3.5324e+00  1.3642e+05  
3.5822e+00  1.4011e+05  
3.6319e+00  1.4406e+05  
3.6817e+00  1.4820e+05  
3.7314e+00  1.5199e+05  
3.7812e+00  1.5609e+05  
3.8309e+00  1.6019e+05  
3.8807e+00  1.6443e+05  
3.9304e+00  1.6874e+05  
3.9802e+00  1.7283e+05  
4.0299e+00  1.7746e+05  
4.0797e+00  1.8167e+05  
4.1294e+00  1.8616e+05  
4.1792e+00  1.9064e+05  
4.2289e+00  1.9508e+05  
4.2786e+00  1.9972e+05  
4.3284e+00  2.0423e+05  
4.3781e+00  2.0908e+05  
4.4279e+00  2.1379e+05  
4.4776e+00  2.1853e+05  
4.5274e+00  2.2328e+05  
4.5771e+00  2.2842e+05  
4.6269e+00  2.3341e+05  
4.6766e+00  2.3845e+05  
4.7264e+00  2.4348e+05  
4.7761e+00  2.4860e+05  
4.8259e+00  2.5380e+05  
4.8756e+00  2.5924e+05  
4.9254e+00  2.6418e+05  
4.9751e+00  2.6941e+05  

POTENTIAL BB

arg         target      
5.4668e-02  2.6156e+00  
1.0437e-01  1.0060e+01  
1.5407e-01  2.5251e+01  
2.0377e-01  4.8489e+01  
2.5348e-01  8.3800e+01  
3.0318e-01  1.4175e+02  
3.5288e-01  2.2333e+02  
4.0258e-01  3.4808e+02  
4.5228e-01  5.3439e+02  
5.0198e-01  7.8327e+02  
5.5169e-01  1.1483e+03  
6.0139e-01  1.6055e+03  
6.5109e-01  2.2351e+03  
7.0079e-01  3.0412e+03  
7.5049e-01  4.0221e+03  
8.0020e-01  5.0692e+03  
8.4990e-01  6.4040e+03  
8.9960e-01  7.8081e+03  
9.4930e-01  9.3076e+03  
9.9900e-01  1.0853e+04  
1.0487e+00  1.2432e+04  
1.0984e+00  1.3918e+04  
1.1481e+00  1.5558e+04  
1.1978e+00  1.7056e+04  
1.2475e+00  1.8413e+04  
1.2972e+00  1.9706e+04  
1.3469e+00  2.1111e+04  
1.3966e+00  2.2450e+04  
1.4463e+00  2.3740e+04  
1.4960e+00  2.5073e+04  
1.5457e+00  2.6581e+04  
1.5954e+00  2.7876e+04  
1.6451e+00  2.9454e+04  
1.6948e+00  3.0968e+04  
1.7445e+00  3.2661e+04  
1.7942e+00  3.4502e+04  
1.8439e+00  3.6457e+04  
1.8936e+00  3.8423e+04  
1.9433e+00  4.0400e+04  
1.9930e+00  4.2600e+04  
2.0427e+00  4.5068e+04  
2.0924e+00  4.7313e+04  
2.1421e+00  4.9544e+04  
2.1918e+00  5.2122e+04  
2.2416e+00  5.4488e+04  
2.2913e+00  5.7098e+04  
2.3410e+00  5.9632e+04  
2.3907e+00  6.2380e+04  
2.4404e+00  6.5020e+04  
2.4901e+00  6.7594e+04  
2.5398e+00  7.0419e+04  
2.5895e+00  7.3078e+04  
2.6392e+00  7.6094e+04  
2.6889e+00  7.8796e+04  
2.7386e+00  8.1767e+04  
2.7883e+00  8.4700e+04  
2.8380e+00  8.7859e+04  
2.8877e+00  9.0700e+04  
2.9374e+00  9.3687e+04  
2.9871e+00  9.6892e+04  
3.0368e+00  1.0044e+05  
3.0865e+00  1.0345e+05  
3.1362e+00  1.0671e+05  
3.1859e+00  1.1013e+05  
3.2356e+00  1.1356e+05  
3.2853e+00  1.1732e+05  
3.3350e+00  1.2077e+05  
3.3847e+00  1.2438e+05  
3.4344e+00  1.2817e+05  
3.4841e+00  1.3190e+05  
3.5338e+00  1.3570e+05  
3.5835e+00  1.3933e+05  
3.6332e+00  1.4360e+05  
3.6829e+00  1.4723e+05  
3.7326e+00  1.5155e+05  
3.7823e+00  1.5542e+05  
3.8320e+00  1.5926e+05  
3.8817e+00  1.6374e+05  
3.9314e+00  1.6790e+05  
3.9811e+00  1.7217e+05  
4.0308e+00  1.7637e+05  
4.0805e+00  1.8067e+05  
4.1302e+00  1.8511e+05  
