POTENTIAL AA
4.1799e+00  1.8960e+05  
4.2296e+00  1.9407e+05  
4.2793e+00  1.9899e+05  
4.3290e+00  2.0312e+05  
4.3787e+00  2.0802e+05  
4.4284e+00  2.1288e+05  
4.4781e+00  2.1750e+05  
4.5278e+00  2.2245e+05  
4.5775e+00  2.2730e+05  
4.6272e+00  2.3223e+05  
4.6769e+00  2.3743e+05  
4.7266e+00  2.4217e+05  
4.7763e+00  2.4734e+05  
4.8260e+00  2.5250e+05  
4.8758e+00  2.5789e+05  
4.9255e+00  2.6300e+05  
4.9752e+00  2.6837e+05  

POTENTIAL AB

arg         target      
4.8696e-02  4.3206e+00  
9.8458e-02  1.8589e+01  
1.4822e-01  4.5115e+01  
1.9798e-01  8.5507e+01  
2.4774e-01  1.5373e+02  
2.9751e-01  2.4798e+02  
3.4727e-01  4.1427e+02  
3.9703e-01  6.4236e+02  
4.4679e-01  9.6942e+02  
4.9655e-01  1.4373e+03  
5.4631e-01  2.0561e+03  
5.9608e-01  2.9440e+03  
6.4584e-01  4.1161e+03  
6.9560e-01  5.5575e+03  
7.4536e-01  7.2942e+03  
7.9512e-01  9.3852e+03  
8.4489e-01  1.1836e+04  
8.9465e-01  1.4429e+04  
9.4441e-01  1.7335e+04  
9.9417e-01  2.0252e+04  
1.0439e+00  2.3201e+04  
1.0937e+00  2.6108e+04  
1.1435e+00  2.9099e+04  
1.1932e+00  3.1895e+04  
1.2430e+00  3.4521e+04  
1.2927e+00  3.7136e+04  
1.3425e+00  3.9677e+04  
1.3923e+00  4.2284e+04  
1.4420e+00  4.4739e+04  
1.4918e+00  4.7121e+04  
1.5416e+00  4.9884e+04  
1.5913e+00  5.2586e+04  
1.6411e+00  5.5459e+04  
1.6908e+00  5.8422e+04  
1.7406e+00  6.1541e+04  
1.7904e+00  6.5081e+04  
1.8401e+00  6.8756e+04  
1.8899e+00  7.2404e+04  
1.9396e+00  7.6254e+04  
1.9894e+00  8.0302e+04  
2.0392e+00  8.4725e+04  
2.0889e+00  8.9209e+04  
2.1387e+00  9.3487e+04  
2.1885e+00  9.8077e+04  
2.2382e+00  1.0291e+05  
2.2880e+00  1.0778e+05  
2.3377e+00  1.1291e+05  
2.3875e+00  1.1779e+05  
2.4373e+00  1.2268e+05  
2.4870e+00  1.2769e+05  
2.5368e+00  1.3300e+05  
2.5866e+00  1.3831e+05  
2.6363e+00  1.4351e+05  
2.6861e+00  1.4889e+05  
2.7358e+00  1.5459e+05  
2.7856e+00  1.6027e+05  
2.8354e+00  1.6584e+05  
2.8851e+00  1.7142e+05  
2.9349e+00  1.7754e+05  
2.9846e+00  1.8354e+05  
3.0344e+00  1.8972e+05  
3.0842e+00  1.9567e+05  
3.1339e+00  2.0241e+05  
3.1837e+00  2.0893e+05  
3.2335e+00  2.1545e+05  
3.2832e+00  2.2232e+05  
3.3330e+00  2.2885e+05  
3.3827e+00  2.3581e+05  
3.4325e+00  2.4272e+05  
3.4823e+00  2.4994e+05  
3.5320e+00  2.5725e+05  
3.5818e+00  2.6497e+05  
3.6316e+00  2.7209e+05  
3.6813e+00  2.7995e+05  
3.7311e+00  2.8698e+05  
3.7808e+00  2.9494e+05  
3.8306e+00  3.0306e+05  
3.8804e+00  3.1095e+05  
3.9301e+00  3.1883e+05  
3.9799e+00  3.2714e+05  
4.0296e+00  3.3523e+05  
4.0794e+00  3.4381e+05  
4.1292e+00  3.5221e+05  
4.1789e+00  3.6032e+05  
4.2287e+00  3.6903e+05  
4.2785e+00  3.7822e+05  
4.3282e+00  3.8702e+05  
4.3780e+00  3.9566e+05  
4.4277e+00  4.0497e+05  
4.4775e+00  4.1418e+05  
4.5273e+00  4.2377e+05  
4.5770e+00  4.3275e+05  
4.6268e+00  4.4241e+05  
4.6766e+00  4.5161e+05  
4.7263e+00  4.6156e+05  
4.7761e+00  4.7142e+05  
4.8258e+00  4.8147e+05  
4.8756e+00  4.9154e+05  
4.9254e+00  5.0168e+05  
4.9751e+00  5.1212e+05  

POTENTIAL Uext

arg         target      
-1.4850e+01 1.1177e+02  
-1.4550e+01 1.1480e+02  
-1.4250e+01 1.1605e+02  
-1.3950e+01 1.1960e+02  
-1.3650e+01 1.1927e+02  
-1.3350e+01 1.2187e+02  
-1.3050e+01 1.2370e+02  
-1.2750e+01 1.2538e+02  
-1.2450e+01 1.2670e+02  
-1.2150e+01 1.2937e+02  
-1.1850e+01 1.3148e+02  
-1.1550e+01 1.2983e+02  
-1.1250e+01 1.3280e+02  
-1.0950e+01 1.3673e+02  
-1.0650e+01 1.3427e+02  
-1.0350e+01 1.3725e+02  
-1.0050e+01 1.3585e+02  
-9.7499e+00 1.3872e+02  
-9.4499e+00 1.4013e+02  
-9.1499e+00 1.3863e+02  
-8.8499e+00 1.4455e+02  
-8.5499e+00 1.3960e+02  
-8.2499e+00 1.4260e+02  
-7.9499e+00 1.4283e+02  
-7.6500e+00 1.4185e+02  
-7.3500e+00 1.4303e+02  
-7.0500e+00 1.4215e+02  
-6.7500e+00 1.3967e+02  
-6.4500e+00 1.4158e+02  
-6.1500e+00 1.3965e+02  
-5.8500e+00 1.4090e+02  
-5.5500e+00 1.3983e+02  
-5.2500e+00 1.3787e+02  
-4.9500e+00 1.3827e+02  
-4.6500e+00 1.3527e+02  
-4.3500e+00 1.3672e+02  
-4.0500e+00 1.3425e+02  
-3.7500e+00 1.3273e+02  
-3.4500e+00 1.3053e+02  
-3.1500e+00 1.3000e+02  
-2.8500e+00 1.2812e+02  
-2.5500e+00 1.2683e+02  
-2.2500e+00 1.2613e+02  
-1.9500e+00 1.2288e+02  
-1.6500e+00 1.2242e+02  
-1.3500e+00 1.2072e+02  
-1.0500e+00 1.1882e+02  
-7.4997e-01 1.1373e+02  
-4.4997e-01 1.1598e+02  
-1.4997e-01 1.1558e+02  
1.5003e-01  1.0963e+02  
4.5003e-01  1.1023e+02  
7.5002e-01  1.0747e+02  
1.0500e+00  1.0803e+02  
1.3500e+00  1.0243e+02  
1.6500e+00  1.0360e+02  
1.9500e+00  1.0005e+02  
2.2500e+00  9.9634e+01  
2.5500e+00  9.7667e+01  
2.8500e+00  9.6317e+01  
3.1500e+00  9.4834e+01  
3.4500e+00  9.2800e+01  
3.7500e+00  9.2800e+01  
4.0500e+00  9.1050e+01  
4.3500e+00  8.9634e+01  
4.6500e+00  8.9467e+01  
4.9500e+00  8.5934e+01  
5.2500e+00  8.7534e+01  
5.5500e+00  8.6534e+01  
5.8500e+00  8.5517e+01  
6.1500e+00  8.3084e+01  
6.4500e+00  8.4700e+01  
6.7500e+00  8.4667e+01  
7.0500e+00  8.3867e+01  
7.3500e+00  8.3134e+01  
7.6500e+00  8.2134e+01  
7.9500e+00  8.5700e+01  
8.2500e+00  8.4450e+01  
8.5500e+00  8.4717e+01  
8.8500e+00  8.5934e+01  
9.1500e+00  8.5150e+01  
9.4500e+00  8.7084e+01  
9.7500e+00  8.6850e+01  
1.0050e+01  8.8700e+01  
1.0350e+01  8.6817e+01  
1.0650e+01  8.9834e+01  
1.0950e+01  8.8867e+01  
1.1250e+01  9.3267e+01  
1.1550e+01  9.3867e+01  
1.1850e+01  9.6417e+01  
1.2150e+01  9.5500e+01  
1.2450e+01  9.7317e+01  
1.2750e+01  9.8517e+01  
1.3050e+01  1.0158e+02  
1.3350e+01  1.0160e+02  
1.3650e+01  1.0517e+02  
1.3950e+01  1.0425e+02  
1.4250e+01  1.0702e+02  
1.4550e+01  1.0967e+02  
1.4850e+01  1.0968e+02  
