#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
104000	62972.7734375	10067.8903641	119.593822167	6749.99980563	0.00166053883015	0
108000	62956.0117188	10130.1539135	120.333434497	6749.99980563	0.00166053883015	9.02e+03
112000	62960.3242188	10272.3811115	122.022913982	6749.99980563	0.00166053883015	8.74e+03
116000	62908.484375	10260.8054833	121.885410138	6749.99980563	0.00166053883015	8.73e+03
120000	62921.4960938	10230.4640085	121.524991738	6749.99980563	0.00166053883015	8.69e+03
124000	62988.671875	10169.1517297	120.796679301	6749.99980563	0.00166053883015	8.71e+03
128000	62964.7265625	10023.9412469	119.071762161	6749.99980563	0.00166053883015	8.51e+03
132000	62986.5351562	10226.945322	121.483194186	6749.99980563	0.00166053883015	8.35e+03
136000	62947.90625	10232.3713603	121.547648668	6749.99980563	0.00166053883015	8.43e+03
140000	62948.8398438	10145.5687295	120.516543043	6749.99980563	0.00166053883015	8.47e+03
144000	62951.1015625	10103.4742059	120.016513266	6749.99980563	0.00166053883015	8.52e+03
148000	62948.3789062	9940.76607118	118.08374612	6749.99980563	0.00166053883015	8.53e+03
152000	63009.3046875	10224.7061245	121.456595348	6749.99980563	0.00166053883015	8.51e+03
156000	62948.6367188	10178.9550025	120.9131298	6749.99980563	0.00166053883015	8.46e+03
160000	62981.265625	10023.9327372	119.071661076	6749.99980563	0.00166053883015	8.49e+03
164000	62975.625	10197.1958055	121.129807502	6749.99980563	0.00166053883015	8.52e+03
168000	62957.1132812	10101.2149968	119.989676716	6749.99980563	0.00166053883015	8.55e+03
172000	62910.7773438	10216.8324558	121.363066108	6749.99980563	0.00166053883015	8.53e+03
176000	62947.28125	10227.983282	121.49552384	6749.99980563	0.00166053883015	8.55e+03
180000	62967.5117188	10103.3955961	120.015579481	6749.99980563	0.00166053883015	8.46e+03
184000	62989.0234375	10327.2704143	122.674929575	6749.99980563	0.00166053883015	8.46e+03
188000	62964.375	10198.0987168	121.140532948	6749.99980563	0.00166053883015	8.47e+03
192000	62934.2070312	10217.9903801	121.376820787	6749.99980563	0.00166053883015	8.49e+03
196000	63009.1875	10185.7551978	120.993907533	6749.99980563	0.00166053883015	8.5e+03
200000	63002.8984375	10098.1043196	119.952725798	6749.99980563	0.00166053883015	8.5e+03
204000	62949.765625	10133.7985399	120.376728056	6749.99980563	0.00166053883015	8.48e+03
208000	62995.3046875	9981.70094717	118.570000748	6749.99980563	0.00166053883015	8.47e+03
212000	62966.7851562	9991.57867373	118.687335664	6749.99980563	0.00166053883015	8.48e+03
216000	62937.875	10217.166401	121.367032955	6749.99980563	0.00166053883015	8.49e+03
220000	62932.1328125	10217.0565824	121.365728449	6749.99980563	0.00166053883015	8.51e+03
224000	62926.5585938	10220.9748335	121.412272323	6749.99980563	0.00166053883015	8.52e+03
228000	62922.625	10397.4946805	123.509105168	6749.99980563	0.00166053883015	8.52e+03
232000	62931.1445312	9981.0900617	118.5627442	6749.99980563	0.00166053883015	8.47e+03
236000	62939.2382812	10227.6585903	121.491666913	6749.99980563	0.00166053883015	8.48e+03
240000	62956.7890625	10192.3302382	121.072010708	6749.99980563	0.00166053883015	8.49e+03
244000	62971.25	10246.9865337	121.72125847	6749.99980563	0.00166053883015	8.49e+03
248000	62944.8046875	10147.2855198	120.536936343	6749.99980563	0.00166053883015	8.5e+03
252000	62941.0390625	10071.2594829	119.633843043	6749.99980563	0.00166053883015	8.46e+03
256000	63004.6210938	10271.9332208	122.017593606	6749.99980563	0.00166053883015	8.46e+03
260000	62977.5117188	9848.94840683	116.99306823	6749.99980563	0.00166053883015	8.46e+03
264000	62940.7890625	10075.0584454	119.678969919	6749.99980563	0.00166053883015	8.46e+03
268000	62922.40625	10146.7695722	120.530807537	6749.99980563	0.00166053883015	8.47e+03
272000	62935.6210938	10181.0083298	120.937520736	6749.99980563	0.00166053883015	8.48e+03
276000	62935.5078125	10202.7070888	121.195274588	6749.99980563	0.00166053883015	8.47e+03
280000	62944.9257812	10174.3348676	120.858248433	6749.99980563	0.00166053883015	8.46e+03
284000	62948.5820312	10156.333146	120.644410716	6749.99980563	0.00166053883015	8.47e+03
288000	62943.0703125	10012.1728631	118.931968624	6749.99980563	0.00166053883015	8.48e+03
292000	62971.2304688	10105.374373	120.039084851	6749.99980563	0.00166053883015	8.47e+03
296000	62940.8828125	10142.5974281	120.481247734	6749.99980563	0.00166053883015	8.48e+03
300000	62943.2070312	10253.296565	121.796213672	6749.99980563	0.00166053883015	8.46e+03
304000	62976.390625	10144.9060005	120.508670659	6749.99980563	0.00166053883015	8.44e+03
308000	62995.3125	10185.311624	120.988638435	6749.99980563	0.00166053883015	8.45e+03
312000	62959.703125	10142.4563225	120.479571578	6749.99980563	0.00166053883015	8.45e+03
316000	62969.8320312	10152.263034	120.596062926	6749.99980563	0.00166053883015	8.46e+03
320000	62943.1953125	10008.9661969	118.893877479	6749.99980563	0.00166053883015	8.47e+03
324000	62902.3554688	10199.9958531	121.163068532	6749.99980563	0.00166053883015	8.47e+03
328000	62964.9648438	9957.55713771	118.283202784	6749.99980563	0.00166053883015	8.43e+03
332000	62953.0117188	10131.7997838	120.352985358	6749.99980563	0.00166053883015	8.43e+03
336000	62933.9296875	10201.0436861	121.175515464	6749.99980563	0.00166053883015	8.44e+03
340000	62951.8203125	10173.7973356	120.851863232	6749.99980563	0.00166053883015	8.45e+03
344000	62947.7070312	10173.8140715	120.852062033	6749.99980563	0.00166053883015	8.45e+03
348000	62983.359375	10114.0019072	120.141569061	6749.99980563	0.00166053883015	8.46e+03
352000	62922.7109375	9984.36375319	118.60163152	6749.99980563	0.00166053883015	8.46e+03
356000	62962.046875	10182.2480543	120.952247097	6749.99980563	0.00166053883015	8.44e+03
360000	62891.125	10108.5750419	120.077104756	6749.99980563	0.00166053883015	8.44e+03
364000	62927.1875	10099.1334363	119.964950406	6749.99980563	0.00166053883015	8.45e+03
368000	62923.9257812	10130.9276381	120.342625369	6749.99980563	0.00166053883015	8.45e+03
372000	62982.4609375	9893.00041481	117.516350448	6749.99980563	0.00166053883015	8.45e+03
376000	62947.9765625	10022.3610463	119.052991373	6749.99980563	0.00166053883015	8.46e+03
380000	62976.7382812	10098.7147193	119.959976577	6749.99980563	0.00166053883015	8.46e+03
384000	62929.046875	10013.1935637	118.944093258	6749.99980563	0.00166053883015	8.45e+03
388000	62948.765625	9970.00248663	118.431037811	6749.99980563	0.00166053883015	8.46e+03
392000	62916.4140625	10053.73099	119.425626685	6749.99980563	0.00166053883015	8.46e+03
396000	62994.078125	10225.2313229	121.462834041	6749.99980563	0.00166053883015	8.47e+03
400000	62888.4609375	10134.7039942	120.387483709	6749.99980563	0.00166053883015	8.46e+03
404000	62947.03125	10157.5135889	120.658432886	6749.99980563	0.00166053883015	8.44e+03
408000	62972.7109375	10087.9624126	119.832252752	6749.99980563	0.00166053883015	8.44e+03
412000	62961.1875	10060.8102829	119.509719744	6749.99980563	0.00166053883015	8.45e+03
416000	62994.3203125	9917.89789618	117.812101083	6749.99980563	0.00166053883015	8.45e+03
420000	62919.3085938	10004.2129291	118.837414661	6749.99980563	0.00166053883015	8.45e+03
424000	62956.359375	10192.9754634	121.079675169	6749.99980563	0.00166053883015	8.46e+03
428000	62963.046875	10120.2051404	120.215255638	6749.99980563	0.00166053883015	8.46e+03
432000	62958.515625	10095.3683653	119.920226117	6749.99980563	0.00166053883015	8.46e+03
436000	62932.078125	10058.0399564	119.476811764	6749.99980563	0.00166053883015	8.45e+03
440000	62934.59375	10039.0527343	119.251267545	6749.99980563	0.00166053883015	8.46e+03
444000	62951.7109375	9976.49550731	118.508166696	6749.99980563	0.00166053883015	8.46e+03
448000	62988.8632812	10131.9766214	120.355085965	6749.99980563	0.00166053883015	8.46e+03
452000	62993.75	10115.0266335	120.153741516	6749.99980563	0.00166053883015	8.46e+03
456000	62970.5351562	10223.3947135	121.441017442	6749.99980563	0.00166053883015	8.46e+03
460000	62971.359375	10115.1214319	120.154867601	6749.99980563	0.00166053883015	8.47e+03
464000	62957.8710938	10206.4635387	121.239896468	6749.99980563	0.00166053883015	8.47e+03
468000	62944.9257812	10198.2803144	121.142690099	6749.99980563	0.00166053883015	8.47e+03
472000	62931.7890625	10322.386487	122.616914688	6749.99980563	0.00166053883015	8.47e+03
476000	62952.3085938	10247.7758484	121.730634532	6749.99980563	0.00166053883015	8.48e+03
480000	62944.5507812	10237.6063523	121.609833761	6749.99980563	0.00166053883015	8.48e+03
484000	62935.6875	10016.4463735	118.98273253	6749.99980563	0.00166053883015	8.48e+03
488000	62925.8046875	10095.3617715	119.920147791	6749.99980563	0.00166053883015	8.48e+03
492000	62957.3984375	9873.07274237	117.279634868	6749.99980563	0.00166053883015	8.48e+03
496000	62938.1953125	10204.2310887	121.213377781	6749.99980563	0.00166053883015	8.49e+03
500000	62957.0546875	10101.814539	119.99679852	6749.99980563	0.00166053883015	8.49e+03
504000	62995.5742188	10133.1223949	120.368696307	6749.99980563	0.00166053883015	8.49e+03
508000	62964.5585938	10048.1959247	119.3598771	6749.99980563	0.00166053883015	8.49e+03
512000	62943.4375	10347.7790517	122.918546287	6749.99980563	0.00166053883015	8.49e+03
516000	62925.5664062	9927.70081928	117.928547428	6749.99980563	0.00166053883015	8.5e+03
520000	62969.1328125	10149.5833333	120.564231466	6749.99980563	0.00166053883015	8.5e+03
524000	62981.2109375	10172.8586741	120.840713119	6749.99980563	0.00166053883015	8.51e+03
528000	62954.5703125	10165.4997623	120.75329854	6749.99980563	0.00166053883015	8.51e+03
532000	62970.0664062	10047.0506376	119.346272536	6749.99980563	0.00166053883015	8.51e+03
