========POTENTIAL SUMMARIES========
POTENTIAL AA
arg          val          deriv       
  3.0000e-01   4.1937e-01  -6.2906e-02
  3.5000e-01   4.1598e-01  -7.2797e-02
  4.0000e-01   4.1210e-01  -8.2420e-02
  4.5000e-01   4.0774e-01  -9.1742e-02
  5.0000e-01   4.0293e-01  -1.0073e-01
  5.5000e-01   3.9768e-01  -1.0936e-01
  6.0000e-01   3.9200e-01  -1.1760e-01
  6.5000e-01   3.8592e-01  -1.2543e-01
  7.0000e-01   3.7947e-01  -1.3281e-01
  7.5000e-01   3.7265e-01  -1.3974e-01
  8.0000e-01   3.6550e-01  -1.4620e-01
  8.5000e-01   3.5804e-01  -1.5217e-01
  9.0000e-01   3.5029e-01  -1.5763e-01
  9.5000e-01   3.4228e-01  -1.6258e-01
  1.0000e+00   3.3404e-01  -1.6702e-01
  1.0500e+00   3.2559e-01  -1.7093e-01
  1.1000e+00   3.1696e-01  -1.7433e-01
  1.1500e+00   3.0817e-01  -1.7720e-01
  1.2000e+00   2.9925e-01  -1.7955e-01
  1.2500e+00   2.9022e-01  -1.8139e-01
  1.3000e+00   2.8112e-01  -1.8272e-01
  1.3500e+00   2.7196e-01  -1.8357e-01
  1.4000e+00   2.6277e-01  -1.8394e-01
  1.4500e+00   2.5357e-01  -1.8384e-01
  1.5000e+00   2.4439e-01  -1.8329e-01
  1.5500e+00   2.3525e-01  -1.8232e-01
  1.6000e+00   2.2616e-01  -1.8093e-01
  1.6500e+00   2.1716e-01  -1.7916e-01
  1.7000e+00   2.0826e-01  -1.7702e-01
  1.7500e+00   1.9947e-01  -1.7453e-01
  1.8000e+00   1.9081e-01  -1.7173e-01
  1.8500e+00   1.8230e-01  -1.6863e-01
  1.9000e+00   1.7395e-01  -1.6525e-01
  1.9500e+00   1.6578e-01  -1.6163e-01
  2.0000e+00   1.5779e-01  -1.5779e-01
  2.0500e+00   1.5000e-01  -1.5375e-01
  2.1000e+00   1.4242e-01  -1.4954e-01
  2.1500e+00   1.3505e-01  -1.4518e-01
  2.2000e+00   1.2790e-01  -1.4069e-01
  2.2500e+00   1.2098e-01  -1.3610e-01
  2.3000e+00   1.1429e-01  -1.3144e-01
  2.3500e+00   1.0784e-01  -1.2671e-01
  2.4000e+00   1.0162e-01  -1.2195e-01
  2.4500e+00   9.5645e-02  -1.1716e-01
  2.5000e+00   8.9906e-02  -1.1238e-01
  2.5500e+00   8.4406e-02  -1.0762e-01
  2.6000e+00   7.9144e-02  -1.0289e-01
  2.6500e+00   7.4117e-02  -9.8204e-02
  2.7000e+00   6.9322e-02  -9.3585e-02
  2.7500e+00   6.4757e-02  -8.9041e-02
  2.8000e+00   6.0417e-02  -8.4583e-02
  2.8500e+00   5.6297e-02  -8.0223e-02
  2.9000e+00   5.2393e-02  -7.5969e-02
  2.9500e+00   4.8698e-02  -7.1830e-02
  3.0000e+00   4.5208e-02  -6.7811e-02
  3.0500e+00   4.1915e-02  -6.3920e-02
  3.1000e+00   3.8813e-02  -6.0161e-02
  3.1500e+00   3.5896e-02  -5.6537e-02
  3.2000e+00   3.3157e-02  -5.3052e-02
  3.2500e+00   3.0589e-02  -4.9707e-02
  3.3000e+00   2.8184e-02  -4.6504e-02
  3.3500e+00   2.5936e-02  -4.3443e-02
  3.4000e+00   2.3838e-02  -4.0524e-02
  3.4500e+00   2.1881e-02  -3.7745e-02
  3.5000e+00   2.0061e-02  -3.5106e-02
  3.5500e+00   1.8369e-02  -3.2604e-02
  3.6000e+00   1.6798e-02  -3.0237e-02
  3.6500e+00   1.5343e-02  -2.8000e-02
  3.7000e+00   1.3996e-02  -2.5892e-02
  3.7500e+00   1.2751e-02  -2.3909e-02
  3.8000e+00   1.1603e-02  -2.2046e-02
  3.8500e+00   1.0545e-02  -2.0299e-02
  3.9000e+00   9.5713e-03  -1.8664e-02
  3.9500e+00   8.6767e-03  -1.7136e-02
  4.0000e+00   7.8559e-03  -1.5712e-02
  4.0500e+00   7.1039e-03  -1.4385e-02
  4.1000e+00   6.4158e-03  -1.3152e-02
  4.1500e+00   5.7871e-03  -1.2008e-02
  4.2000e+00   5.2136e-03  -1.0948e-02
  4.2500e+00   4.6910e-03  -9.9683e-03
  4.3000e+00   4.2155e-03  -9.0633e-03
  4.3500e+00   3.7835e-03  -8.2290e-03
  4.4000e+00   3.3915e-03  -7.4612e-03
  4.4500e+00   3.0363e-03  -6.7558e-03
  4.5000e+00   2.7149e-03  -6.1086e-03
  4.5500e+00   2.4245e-03  -5.5158e-03
  4.6000e+00   2.1625e-03  -4.9737e-03
  4.6500e+00   1.9264e-03  -4.4788e-03
  4.7000e+00   1.7139e-03  -4.0276e-03
  4.7500e+00   1.5229e-03  -3.6170e-03
  4.8000e+00   1.3516e-03  -3.2438e-03
  4.8500e+00   1.1980e-03  -2.9051e-03
  4.9000e+00   1.0605e-03  -2.5983e-03
  4.9500e+00   9.3767e-04  -2.3207e-03


POTENTIAL Uext
arg          val          deriv       
  0.0000e+00   0.0000e+00   1.0472e-01
  1.0000e-01   1.0471e-02   1.0470e-01
  2.0000e-01   2.0938e-02   1.0463e-01
  3.0000e-01   3.1395e-02   1.0451e-01
  4.0000e-01   4.1839e-02   1.0435e-01
  5.0000e-01   5.2264e-02   1.0415e-01
  6.0000e-01   6.2667e-02   1.0389e-01
  7.0000e-01   7.3042e-02   1.0360e-01
  8.0000e-01   8.3384e-02   1.0325e-01
  9.0000e-01   9.3691e-02   1.0286e-01
  1.0000e+00   1.0396e-01   1.0243e-01
  1.1000e+00   1.1418e-01   1.0195e-01
  1.2000e+00   1.2434e-01   1.0143e-01
  1.3000e+00   1.3446e-01   1.0086e-01
  1.4000e+00   1.4452e-01   1.0025e-01
  1.5000e+00   1.5451e-01   9.9594e-02
  1.6000e+00   1.6443e-01   9.8895e-02
  1.7000e+00   1.7429e-01   9.8152e-02
  1.8000e+00   1.8406e-01   9.7366e-02
  1.9000e+00   1.9376e-01   9.6537e-02
  2.0000e+00   2.0337e-01   9.5666e-02
  2.1000e+00   2.1289e-01   9.4753e-02
  2.2000e+00   2.2232e-01   9.3799e-02
  2.3000e+00   2.3165e-01   9.2803e-02
  2.4000e+00   2.4088e-01   9.1767e-02
  2.5000e+00   2.5000e-01   9.0690e-02
  2.6000e+00   2.5901e-01   8.9574e-02
  2.7000e+00   2.6791e-01   8.8418e-02
  2.8000e+00   2.7670e-01   8.7223e-02
  2.9000e+00   2.8536e-01   8.5991e-02
  3.0000e+00   2.9389e-01   8.4720e-02
  3.1000e+00   3.0230e-01   8.3412e-02
  3.2000e+00   3.1057e-01   8.2068e-02
  3.3000e+00   3.1871e-01   8.0688e-02
  3.4000e+00   3.2671e-01   7.9272e-02
  3.5000e+00   3.3457e-01   7.7822e-02
  3.6000e+00   3.4227e-01   7.6337e-02
  3.7000e+00   3.4983e-01   7.4819e-02
  3.8000e+00   3.5724e-01   7.3269e-02
  3.9000e+00   3.6448e-01   7.1686e-02
  4.0000e+00   3.7157e-01   7.0071e-02
  4.1000e+00   3.7850e-01   6.8426e-02
  4.2000e+00   3.8526e-01   6.6751e-02
  4.3000e+00   3.9185e-01   6.5046e-02
  4.4000e+00   3.9826e-01   6.3313e-02
  4.5000e+00   4.0451e-01   6.1553e-02
  4.6000e+00   4.1057e-01   5.9765e-02
  4.7000e+00   4.1646e-01   5.7951e-02
  4.8000e+00   4.2216e-01   5.6112e-02
  4.9000e+00   4.2768e-01   5.4248e-02
  5.0000e+00   4.3301e-01   5.2360e-02
  5.1000e+00   4.3815e-01   5.0449e-02
  5.2000e+00   4.4310e-01   4.8516e-02
  5.3000e+00   4.4786e-01   4.6562e-02
  5.4000e+00   4.5241e-01   4.4588e-02
  5.5000e+00   4.5677e-01   4.2593e-02
  5.6000e+00   4.6093e-01   4.0581e-02
  5.7000e+00   4.6489e-01   3.8550e-02
  5.8000e+00   4.6864e-01   3.6502e-02
  5.9000e+00   4.7219e-01   3.4439e-02
  6.0000e+00   4.7553e-01   3.2360e-02
  6.1000e+00   4.7866e-01   3.0267e-02
  6.2000e+00   4.8158e-01   2.8161e-02
  6.3000e+00   4.8429e-01   2.6043e-02
  6.4000e+00   4.8679e-01   2.3913e-02
  6.5000e+00   4.8907e-01   2.1772e-02
  6.6000e+00   4.9114e-01   1.9623e-02
  6.7000e+00   4.9300e-01   1.7464e-02
  6.8000e+00   4.9464e-01   1.5298e-02
  6.9000e+00   4.9606e-01   1.3125e-02
  7.0000e+00   4.9726e-01   1.0946e-02
  7.1000e+00   4.9825e-01   8.7627e-03
  7.2000e+00   4.9901e-01   6.5754e-03
  7.3000e+00   4.9956e-01   4.3852e-03
  7.4000e+00   4.9989e-01   2.1931e-03
  7.5000e+00   5.0000e-01  -2.7599e-09
  7.6000e+00   4.9989e-01  -2.1931e-03
  7.7000e+00   4.9956e-01  -4.3852e-03
  7.8000e+00   4.9901e-01  -6.5754e-03
  7.9000e+00   4.9825e-01  -8.7627e-03
  8.0000e+00   4.9726e-01  -1.0946e-02
  8.1000e+00   4.9606e-01  -1.3125e-02
  8.2000e+00   4.9464e-01  -1.5298e-02
  8.3000e+00   4.9300e-01  -1.7464e-02
  8.4000e+00   4.9114e-01  -1.9623e-02
  8.5000e+00   4.8907e-01  -2.1772e-02
  8.6000e+00   4.8679e-01  -2.3913e-02
  8.7000e+00   4.8429e-01  -2.6043e-02
  8.8000e+00   4.8158e-01  -2.8161e-02
  8.9000e+00   4.7866e-01  -3.0267e-02
  9.0000e+00   4.7553e-01  -3.2360e-02
  9.1000e+00   4.7219e-01  -3.4439e-02
  9.2000e+00   4.6864e-01  -3.6502e-02
  9.3000e+00   4.6489e-01  -3.8550e-02
  9.4000e+00   4.6093e-01  -4.0581e-02
  9.5000e+00   4.5677e-01  -4.2593e-02
  9.6000e+00   4.5241e-01  -4.4588e-02
  9.7000e+00   4.4786e-01  -4.6562e-02
  9.8000e+00   4.4310e-01  -4.8516e-02
  9.9000e+00   4.3815e-01  -5.0449e-02


========PARAMETER VALUES========
   Global:Charge(0)       0.0000e+00
   Global:Charge(1)       0.0000e+00
   AA:Epsilon             0.0000e+00
   AA:Sigma               1.0000e+00
   AA:B                   4.2495e-01
   AA:Kappa               2.5000e-01
   AA:Dist0               0.0000e+00
   BB:Epsilon             0.0000e+00
   BB:Sigma               1.0000e+00
   BB:B                   4.2495e-01
   BB:Kappa               2.5000e-01
   BB:Dist0               0.0000e+00
   AB:Epsilon             0.0000e+00
   AB:Sigma               1.0000e+00
   AB:B                   4.2892e-01
   AB:Kappa               2.5000e-01
   AB:Dist0               0.0000e+00
   Uext:UConst            5.0000e-01
   Uext:NPeriods          1.0000e+00

========PARAMETER INPUT========
>>> POTENTIAL AA
{'Epsilon' : 0.0000e+00 ,
 'B' : 4.2495e-01 ,
 'Kappa' : 2.5000e-01 ,
 'Dist0' : 0.0000e+00 ,
 'Sigma' : 1.0000e+00 }
>>> POTENTIAL BB
{'Epsilon' : 0.0000e+00 ,
 'B' : 4.2495e-01 ,
 'Kappa' : 2.5000e-01 ,
 'Dist0' : 0.0000e+00 ,
 'Sigma' : 1.0000e+00 }
>>> POTENTIAL AB
{'Epsilon' : 0.0000e+00 ,
 'B' : 4.2892e-01 ,
 'Kappa' : 2.5000e-01 ,
 'Dist0' : 0.0000e+00 ,
 'Sigma' : 1.0000e+00 }
>>> POTENTIAL Uext
{'UConst' : 5.0000e-01 ,
 'NPeriods' : 1.0000e+00 }

