
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL AA

arg         target      model       
5.0005e-02  2.4121e+00  2.6766e+01  
9.9754e-02  9.6485e+00  1.0217e+02  
1.4950e-01  2.2312e+01  2.2410e+02  
1.9925e-01  4.7639e+01  3.9027e+02  
2.4900e-01  8.2414e+01  6.2093e+02  
2.9875e-01  1.3659e+02  8.9460e+02  
3.4850e-01  2.1769e+02  1.2293e+03  
3.9825e-01  3.4333e+02  1.5702e+03  
4.4800e-01  5.2021e+02  2.0205e+03  
4.9774e-01  7.7912e+02  2.4745e+03  
5.4749e-01  1.1336e+03  3.0479e+03  
5.9724e-01  1.6105e+03  3.6314e+03  
6.4699e-01  2.2069e+03  4.2286e+03  
6.9674e-01  2.9895e+03  4.9009e+03  
7.4649e-01  3.9681e+03  5.6775e+03  
7.9624e-01  5.0276e+03  6.5010e+03  
8.4599e-01  6.3586e+03  7.3302e+03  
8.9573e-01  7.7704e+03  8.2370e+03  
9.4548e-01  9.2346e+03  9.1961e+03  
9.9523e-01  1.0808e+04  1.0270e+04  
1.0450e+00  1.2397e+04  1.1360e+04  
1.0947e+00  1.3993e+04  1.2447e+04  
1.1445e+00  1.5541e+04  1.3642e+04  
1.1942e+00  1.6949e+04  1.4898e+04  
1.2440e+00  1.8406e+04  1.6212e+04  
1.2937e+00  1.9772e+04  1.7668e+04  
1.3435e+00  2.1088e+04  1.8973e+04  
1.3932e+00  2.2522e+04  2.0515e+04  
1.4430e+00  2.3783e+04  2.2099e+04  
1.4927e+00  2.5093e+04  2.3676e+04  
1.5425e+00  2.6465e+04  2.5335e+04  
1.5922e+00  2.8049e+04  2.7029e+04  
1.6420e+00  2.9515e+04  2.8847e+04  
1.6917e+00  3.1058e+04  3.0709e+04  
1.7415e+00  3.2873e+04  3.2714e+04  
1.7912e+00  3.4552e+04  3.4570e+04  
1.8410e+00  3.6399e+04  3.6585e+04  
1.8907e+00  3.8487e+04  3.8640e+04  
1.9405e+00  4.0608e+04  4.0849e+04  
1.9902e+00  4.2809e+04  4.3064e+04  
2.0400e+00  4.5027e+04  4.5308e+04  
2.0897e+00  4.7359e+04  4.7483e+04  
2.1395e+00  4.9672e+04  5.0021e+04  
2.1892e+00  5.2239e+04  5.2384e+04  
2.2389e+00  5.4936e+04  5.4839e+04  
2.2887e+00  5.7283e+04  5.7326e+04  
2.3384e+00  5.9888e+04  6.0038e+04  
2.3882e+00  6.2547e+04  6.2636e+04  
2.4379e+00  6.5216e+04  6.5182e+04  
2.4877e+00  6.7881e+04  6.8074e+04  
2.5374e+00  7.0637e+04  7.0906e+04  
2.5872e+00  7.3502e+04  7.3575e+04  
2.6369e+00  7.6436e+04  7.6642e+04  
