
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL AA

arg         target      model       
2.6867e+00  7.9281e+04  7.9385e+04  
2.7364e+00  8.2081e+04  8.2392e+04  
2.7862e+00  8.4961e+04  8.5581e+04  
2.8359e+00  8.7997e+04  8.8577e+04  
2.8857e+00  9.1176e+04  9.1688e+04  
2.9354e+00  9.4391e+04  9.4780e+04  
2.9852e+00  9.7340e+04  9.8202e+04  
3.0349e+00  1.0067e+05  1.0139e+05  
3.0847e+00  1.0404e+05  1.0490e+05  
3.1344e+00  1.0710e+05  1.0818e+05  
3.1842e+00  1.1074e+05  1.1163e+05  
3.2339e+00  1.1418e+05  1.1516e+05  
3.2837e+00  1.1758e+05  1.1869e+05  
3.3334e+00  1.2126e+05  1.2222e+05  
3.3832e+00  1.2488e+05  1.2605e+05  
3.4329e+00  1.2871e+05  1.2954e+05  
3.4827e+00  1.3248e+05  1.3321e+05  
3.5324e+00  1.3642e+05  1.3699e+05  
3.5822e+00  1.4011e+05  1.4088e+05  
3.6319e+00  1.4406e+05  1.4472e+05  
3.6817e+00  1.4820e+05  1.4878e+05  
3.7314e+00  1.5199e+05  1.5300e+05  
3.7812e+00  1.5609e+05  1.5684e+05  
3.8309e+00  1.6019e+05  1.6064e+05  
3.8807e+00  1.6443e+05  1.6502e+05  
3.9304e+00  1.6874e+05  1.6943e+05  
3.9802e+00  1.7283e+05  1.7347e+05  
4.0299e+00  1.7746e+05  1.7786e+05  
4.0797e+00  1.8167e+05  1.8229e+05  
4.1294e+00  1.8616e+05  1.8682e+05  
4.1792e+00  1.9064e+05  1.9095e+05  
4.2289e+00  1.9508e+05  1.9575e+05  
4.2786e+00  1.9972e+05  2.0031e+05  
4.3284e+00  2.0423e+05  2.0490e+05  
4.3781e+00  2.0908e+05  2.0938e+05  
4.4279e+00  2.1379e+05  2.1441e+05  
4.4776e+00  2.1853e+05  2.1938e+05  
4.5274e+00  2.2328e+05  2.2390e+05  
4.5771e+00  2.2842e+05  2.2908e+05  
4.6269e+00  2.3341e+05  2.3389e+05  
4.6766e+00  2.3845e+05  2.3874e+05  
4.7264e+00  2.4348e+05  2.4384e+05  
4.7761e+00  2.4860e+05  2.4918e+05  
4.8259e+00  2.5380e+05  2.5417e+05  
4.8756e+00  2.5924e+05  2.5955e+05  
4.9254e+00  2.6418e+05  2.6497e+05  
4.9751e+00  2.6941e+05  2.7037e+05  

POTENTIAL BB

arg         target      model       
5.4668e-02  2.6156e+00  3.4662e+01  
1.0437e-01  1.0060e+01  1.1543e+02  
1.5407e-01  2.5251e+01  2.3755e+02  
2.0377e-01  4.8489e+01  4.0949e+02  
2.5348e-01  8.3800e+01  6.3597e+02  
3.0318e-01  1.4175e+02  9.0954e+02  
3.5288e-01  2.2333e+02  1.2476e+03  
4.0258e-01  3.4808e+02  1.6263e+03  
4.5228e-01  5.3439e+02  2.0679e+03  
5.0198e-01  7.8327e+02  2.5177e+03  
5.5169e-01  1.1483e+03  3.0610e+03  
6.0139e-01  1.6055e+03  3.6260e+03  
6.5109e-01  2.2351e+03  4.2934e+03  
7.0079e-01  3.0412e+03  4.9450e+03  
7.5049e-01  4.0221e+03  5.7229e+03  
8.0020e-01  5.0692e+03  6.4913e+03  
8.4990e-01  6.4040e+03  7.3436e+03  
8.9960e-01  7.8081e+03  8.2480e+03  
9.4930e-01  9.3076e+03  9.1982e+03  
9.9900e-01  1.0853e+04  1.0181e+04  
1.0487e+00  1.2432e+04  1.1319e+04  
1.0984e+00  1.3918e+04  1.2390e+04  
1.1481e+00  1.5558e+04  1.3664e+04  
1.1978e+00  1.7056e+04  1.4885e+04  
1.2475e+00  1.8413e+04  1.6187e+04  
1.2972e+00  1.9706e+04  1.7636e+04  
1.3469e+00  2.1111e+04  1.8974e+04  
1.3966e+00  2.2450e+04  2.0486e+04  
1.4463e+00  2.3740e+04  2.2038e+04  
1.4960e+00  2.5073e+04  2.3762e+04  
1.5457e+00  2.6581e+04  2.5314e+04  
1.5954e+00  2.7876e+04  2.7074e+04  
1.6451e+00  2.9454e+04  2.8756e+04  
1.6948e+00  3.0968e+04  3.0669e+04  
1.7445e+00  3.2661e+04  3.2503e+04  
1.7942e+00  3.4502e+04  3.4467e+04  
1.8439e+00  3.6457e+04  3.6522e+04  
1.8936e+00  3.8423e+04  3.8526e+04  
1.9433e+00  4.0400e+04  4.0737e+04  
1.9930e+00  4.2600e+04  4.2911e+04  
2.0427e+00  4.5068e+04  4.5147e+04  
2.0924e+00  4.7313e+04  4.7385e+04  
2.1421e+00  4.9544e+04  4.9741e+04  
2.1918e+00  5.2122e+04  5.2096e+04  
2.2416e+00  5.4488e+04  5.4675e+04  
2.2913e+00  5.7098e+04  5.7243e+04  
2.3410e+00  5.9632e+04  5.9756e+04  
2.3907e+00  6.2380e+04  6.2252e+04  
2.4404e+00  6.5020e+04  6.4980e+04  
2.4901e+00  6.7594e+04  6.7653e+04  
2.5398e+00  7.0419e+04  7.0481e+04  
2.5895e+00  7.3078e+04  7.3176e+04  
2.6392e+00  7.6094e+04  7.6185e+04  
2.6889e+00  7.8796e+04  7.9122e+04  
2.7386e+00  8.1767e+04  8.2002e+04  
2.7883e+00  8.4700e+04  8.5174e+04  
2.8380e+00  8.7859e+04  8.8186e+04  
2.8877e+00  9.0700e+04  9.1331e+04  
2.9374e+00  9.3687e+04  9.4491e+04  
2.9871e+00  9.6892e+04  9.7628e+04  
3.0368e+00  1.0044e+05  1.0093e+05  
3.0865e+00  1.0345e+05  1.0429e+05  
3.1362e+00  1.0671e+05  1.0758e+05  
3.1859e+00  1.1013e+05  1.1117e+05  
3.2356e+00  1.1356e+05  1.1468e+05  
3.2853e+00  1.1732e+05  1.1788e+05  
3.3350e+00  1.2077e+05  1.2163e+05  
3.3847e+00  1.2438e+05  1.2516e+05  
3.4344e+00  1.2817e+05  1.2874e+05  
3.4841e+00  1.3190e+05  1.3273e+05  
3.5338e+00  1.3570e+05  1.3640e+05  
3.5835e+00  1.3933e+05  1.4015e+05  
3.6332e+00  1.4360e+05  1.4396e+05  
3.6829e+00  1.4723e+05  1.4812e+05  
3.7326e+00  1.5155e+05  1.5198e+05  
3.7823e+00  1.5542e+05  1.5582e+05  
3.8320e+00  1.5926e+05  1.6015e+05  
3.8817e+00  1.6374e+05  1.6430e+05  
3.9314e+00  1.6790e+05  1.6842e+05  
3.9811e+00  1.7217e+05  1.7245e+05  
4.0308e+00  1.7637e+05  1.7665e+05  
4.0805e+00  1.8067e+05  1.8128e+05  
4.1302e+00  1.8511e+05  1.8570e+05  
4.1799e+00  1.8960e+05  1.8997e+05  
4.2296e+00  1.9407e+05  1.9447e+05  
4.2793e+00  1.9899e+05  1.9929e+05  
4.3290e+00  2.0312e+05  2.0395e+05  
4.3787e+00  2.0802e+05  2.0841e+05  
4.4284e+00  2.1288e+05  2.1336e+05  
4.4781e+00  2.1750e+05  2.1773e+05  
4.5278e+00  2.2245e+05  2.2301e+05  
4.5775e+00  2.2730e+05  2.2771e+05  
4.6272e+00  2.3223e+05  2.3280e+05  
4.6769e+00  2.3743e+05  2.3784e+05  
4.7266e+00  2.4217e+05  2.4278e+05  
4.7763e+00  2.4734e+05  2.4780e+05  
4.8260e+00  2.5250e+05  2.5301e+05  
4.8758e+00  2.5789e+05  2.5814e+05  
4.9255e+00  2.6300e+05  2.6329e+05  
4.9752e+00  2.6837e+05  2.6856e+05  

POTENTIAL AB

arg         target      model       
4.8696e-02  4.3206e+00  4.7516e+01  
9.8458e-02  1.8589e+01  1.8097e+02  
1.4822e-01  4.5115e+01  4.2003e+02  
1.9798e-01  8.5507e+01  7.2891e+02  
2.4774e-01  1.5373e+02  1.1574e+03  
2.9751e-01  2.4798e+02  1.6517e+03  
3.4727e-01  4.1427e+02  2.2577e+03  
3.9703e-01  6.4236e+02  2.9535e+03  
4.4679e-01  9.6942e+02  3.7178e+03  
4.9655e-01  1.4373e+03  4.6080e+03  
5.4631e-01  2.0561e+03  5.5901e+03  
5.9608e-01  2.9440e+03  6.6983e+03  
6.4584e-01  4.1161e+03  7.8406e+03  
6.9560e-01  5.5575e+03  9.1284e+03  
7.4536e-01  7.2942e+03  1.0531e+04  
7.9512e-01  9.3852e+03  1.2049e+04  
8.4489e-01  1.1836e+04  1.3606e+04  
8.9465e-01  1.4429e+04  1.5286e+04  
9.4441e-01  1.7335e+04  1.7124e+04  
9.9417e-01  2.0252e+04  1.9014e+04  
1.0439e+00  2.3201e+04  2.1047e+04  
1.0937e+00  2.6108e+04  2.3122e+04  
1.1435e+00  2.9099e+04  2.5360e+04  
1.1932e+00  3.1895e+04  2.7701e+04  
1.2430e+00  3.4521e+04  3.0113e+04  
1.2927e+00  3.7136e+04  3.2697e+04  
1.3425e+00  3.9677e+04  3.5429e+04  
1.3923e+00  4.2284e+04  3.8222e+04  
1.4420e+00  4.4739e+04  4.1067e+04  
1.4918e+00  4.7121e+04  4.3901e+04  
1.5416e+00  4.9884e+04  4.7214e+04  
1.5913e+00  5.2586e+04  5.0326e+04  
1.6411e+00  5.5459e+04  5.3757e+04  
1.6908e+00  5.8422e+04  5.7103e+04  
1.7406e+00  6.1541e+04  6.0694e+04  
1.7904e+00  6.5081e+04  6.4469e+04  
1.8401e+00  6.8756e+04  6.8213e+04  
1.8899e+00  7.2404e+04  7.2134e+04  
1.9396e+00  7.6254e+04  7.5888e+04  
1.9894e+00  8.0302e+04  8.0109e+04  
2.0392e+00  8.4725e+04  8.4359e+04  
2.0889e+00  8.9209e+04  8.8639e+04  
2.1387e+00  9.3487e+04  9.3160e+04  
2.1885e+00  9.8077e+04  9.7791e+04  
2.2382e+00  1.0291e+05  1.0245e+05  
2.2880e+00  1.0778e+05  1.0715e+05  
2.3377e+00  1.1291e+05  1.1182e+05  
2.3875e+00  1.1779e+05  1.1680e+05  
2.4373e+00  1.2268e+05  1.2181e+05  
2.4870e+00  1.2769e+05  1.2688e+05  
2.5368e+00  1.3300e+05  1.3238e+05  
2.5866e+00  1.3831e+05  1.3769e+05  
2.6363e+00  1.4351e+05  1.4301e+05  
2.6861e+00  1.4889e+05  1.4858e+05  
2.7358e+00  1.5459e+05  1.5402e+05  
2.7856e+00  1.6027e+05  1.5999e+05  
2.8354e+00  1.6584e+05  1.6562e+05  
2.8851e+00  1.7142e+05  1.7156e+05  
2.9349e+00  1.7754e+05  1.7756e+05  
2.9846e+00  1.8354e+05  1.8359e+05  
3.0344e+00  1.8972e+05  1.9005e+05  
3.0842e+00  1.9567e+05  1.9634e+05  
3.1339e+00  2.0241e+05  2.0240e+05  
3.1837e+00  2.0893e+05  2.0880e+05  
3.2335e+00  2.1545e+05  2.1540e+05  
3.2832e+00  2.2232e+05  2.2252e+05  
3.3330e+00  2.2885e+05  2.2912e+05  
3.3827e+00  2.3581e+05  2.3577e+05  
3.4325e+00  2.4272e+05  2.4284e+05  
3.4823e+00  2.4994e+05  2.4994e+05  
3.5320e+00  2.5725e+05  2.5698e+05  
3.5818e+00  2.6497e+05  2.6464e+05  
3.6316e+00  2.7209e+05  2.7149e+05  
3.6813e+00  2.7995e+05  2.7883e+05  
3.7311e+00  2.8698e+05  2.8691e+05  
3.7808e+00  2.9494e+05  2.9441e+05  
3.8306e+00  3.0306e+05  3.0198e+05  
3.8804e+00  3.1095e+05  3.1031e+05  
3.9301e+00  3.1883e+05  3.1767e+05  
3.9799e+00  3.2714e+05  3.2594e+05  
4.0296e+00  3.3523e+05  3.3383e+05  
4.0794e+00  3.4381e+05  3.4244e+05  
4.1292e+00  3.5221e+05  3.5084e+05  
4.1789e+00  3.6032e+05  3.5942e+05  
4.2287e+00  3.6903e+05  3.6794e+05  
4.2785e+00  3.7822e+05  3.7687e+05  
4.3282e+00  3.8702e+05  3.8571e+05  
4.3780e+00  3.9566e+05  3.9466e+05  
4.4277e+00  4.0497e+05  4.0348e+05  
4.4775e+00  4.1418e+05  4.1259e+05  
4.5273e+00  4.2377e+05  4.2195e+05  
4.5770e+00  4.3275e+05  4.3125e+05  
4.6268e+00  4.4241e+05  4.4090e+05  
4.6766e+00  4.5161e+05  4.5040e+05  
4.7263e+00  4.6156e+05  4.6016e+05  
4.7761e+00  4.7142e+05  4.6972e+05  
4.8258e+00  4.8147e+05  4.7997e+05  
4.8756e+00  4.9154e+05  4.8975e+05  
4.9254e+00  5.0168e+05  4.9992e+05  
4.9751e+00  5.1212e+05  5.0992e+05  

POTENTIAL Uext

arg         target      model       
-1.4850e+01 1.1177e+02  1.1307e+02  
-1.4550e+01 1.1480e+02  1.1542e+02  
-1.4250e+01 1.1605e+02  1.1813e+02  
-1.3950e+01 1.1960e+02  1.1789e+02  
-1.3650e+01 1.1927e+02  1.2106e+02  
-1.3350e+01 1.2187e+02  1.2141e+02  
-1.3050e+01 1.2370e+02  1.2442e+02  
-1.2750e+01 1.2538e+02  1.2368e+02  
-1.2450e+01 1.2670e+02  1.2905e+02  
-1.2150e+01 1.2937e+02  1.3226e+02  
-1.1850e+01 1.3148e+02  1.3212e+02  
-1.1550e+01 1.2983e+02  1.3227e+02  
-1.1250e+01 1.3280e+02  1.3531e+02  
-1.0950e+01 1.3673e+02  1.3222e+02  
-1.0650e+01 1.3427e+02  1.3727e+02  
-1.0350e+01 1.3725e+02  1.4186e+02  
-1.0050e+01 1.3585e+02  1.3825e+02  
-9.7499e+00 1.3872e+02  1.3977e+02  
-9.4499e+00 1.4013e+02  1.4046e+02  
-9.1499e+00 1.3863e+02  1.4227e+02  
-8.8499e+00 1.4455e+02  1.4129e+02  
-8.5499e+00 1.3960e+02  1.4460e+02  
-8.2499e+00 1.4260e+02  1.4095e+02  
-7.9499e+00 1.4283e+02  1.4288e+02  
-7.6500e+00 1.4185e+02  1.4305e+02  
-7.3500e+00 1.4303e+02  1.4304e+02  
-7.0500e+00 1.4215e+02  1.4319e+02  
-6.7500e+00 1.3967e+02  1.4228e+02  
-6.4500e+00 1.4158e+02  1.4205e+02  
-6.1500e+00 1.3965e+02  1.4341e+02  
-5.8500e+00 1.4090e+02  1.3968e+02  
-5.5500e+00 1.3983e+02  1.4065e+02  
-5.2500e+00 1.3787e+02  1.3935e+02  
-4.9500e+00 1.3827e+02  1.4055e+02  
-4.6500e+00 1.3527e+02  1.3854e+02  
-4.3500e+00 1.3672e+02  1.3597e+02  
-4.0500e+00 1.3425e+02  1.3557e+02  
-3.7500e+00 1.3273e+02  1.3465e+02  
-3.4500e+00 1.3053e+02  1.3195e+02  
-3.1500e+00 1.3000e+02  1.2991e+02  
-2.8500e+00 1.2812e+02  1.3207e+02  
-2.5500e+00 1.2683e+02  1.2899e+02  
-2.2500e+00 1.2613e+02  1.2713e+02  
-1.9500e+00 1.2288e+02  1.2159e+02  
-1.6500e+00 1.2242e+02  1.2489e+02  
-1.3500e+00 1.2072e+02  1.2221e+02  
-1.0500e+00 1.1882e+02  1.1904e+02  
-7.4997e-01 1.1373e+02  1.1768e+02  
-4.4997e-01 1.1598e+02  1.1599e+02  
-1.4997e-01 1.1558e+02  1.1357e+02  
1.5003e-01  1.0963e+02  1.1069e+02  
4.5003e-01  1.1023e+02  1.0832e+02  
7.5002e-01  1.0747e+02  1.0773e+02  
1.0500e+00  1.0803e+02  1.0476e+02  
1.3500e+00  1.0243e+02  1.0445e+02  
1.6500e+00  1.0360e+02  1.0083e+02  
1.9500e+00  1.0005e+02  1.0041e+02  
2.2500e+00  9.9634e+01  9.8306e+01  
2.5500e+00  9.7667e+01  9.6161e+01  
2.8500e+00  9.6317e+01  9.3855e+01  
3.1500e+00  9.4834e+01  9.2056e+01  
3.4500e+00  9.2800e+01  9.2871e+01  
3.7500e+00  9.2800e+01  9.1275e+01  
4.0500e+00  9.1050e+01  9.0156e+01  
4.3500e+00  8.9634e+01  8.5763e+01  
4.6500e+00  8.9467e+01  8.8070e+01  
4.9500e+00  8.5934e+01  8.6894e+01  
5.2500e+00  8.7534e+01  8.6415e+01  
5.5500e+00  8.6534e+01  8.4456e+01  
5.8500e+00  8.5517e+01  8.3587e+01  
6.1500e+00  8.3084e+01  8.3870e+01  
6.4500e+00  8.4700e+01  8.4619e+01  
6.7500e+00  8.4667e+01  8.1899e+01  
7.0500e+00  8.3867e+01  8.2852e+01  
7.3500e+00  8.3134e+01  8.1236e+01  
7.6500e+00  8.2134e+01  8.2804e+01  
7.9500e+00  8.5700e+01  8.2469e+01  
8.2500e+00  8.4450e+01  8.2409e+01  
8.5500e+00  8.4717e+01  8.1907e+01  
8.8500e+00  8.5934e+01  8.4167e+01  
9.1500e+00  8.5150e+01  8.3937e+01  
9.4500e+00  8.7084e+01  8.3064e+01  
9.7500e+00  8.6850e+01  8.5583e+01  
1.0050e+01  8.8700e+01  8.5956e+01  
1.0350e+01  8.6817e+01  8.9063e+01  
1.0650e+01  8.9834e+01  8.7846e+01  
1.0950e+01  8.8867e+01  8.9897e+01  
1.1250e+01  9.3267e+01  9.1085e+01  
1.1550e+01  9.3867e+01  9.2493e+01  
1.1850e+01  9.6417e+01  9.4334e+01  
1.2150e+01  9.5500e+01  9.5303e+01  
1.2450e+01  9.7317e+01  9.6148e+01  
1.2750e+01  9.8517e+01  9.9272e+01  
1.3050e+01  1.0158e+02  1.0002e+02  
1.3350e+01  1.0160e+02  1.0164e+02  
1.3650e+01  1.0517e+02  1.0287e+02  
1.3950e+01  1.0425e+02  1.0429e+02  
1.4250e+01  1.0702e+02  1.0614e+02  
1.4550e+01  1.0967e+02  1.0943e+02  
1.4850e+01  1.0968e+02  1.1151e+02  
