Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     AA:Epsilon           AA:Sigma             AA:B                 AA:Kappa             AA:Dist0             BB:Epsilon           BB:Sigma             BB:B                 BB:Kappa             BB:Dist0             AB:Epsilon           AB:Sigma             AB:B                 AB:Kappa             AB:Dist0             Uext:UConst          Uext:NPeriods       
1          SD   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4740e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
2          LSB  -9.0681e+02  0.0000e+00   -9.0681e+02  1.0000e-04   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.6280e-02           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
3          LSB  -9.5650e+01  0.0000e+00   -9.5650e+01  1.0000e-05   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.0729e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
4          LSB  -1.3224e+01  0.0000e+00   -1.3224e+01  1.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4339e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
5          LSB  -1.5781e+00  0.0000e+00   -1.5781e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4700e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
6          LSB  -3.0944e+00  0.0000e+00   -3.0944e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4660e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
7          LSB  -4.5490e+00  0.0000e+00   -4.5490e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4620e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
8          LSB  -5.6003e+00  0.0000e+00   -5.6003e+00  7.5000e-08   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4590e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
9          LSB  -6.3668e+00  0.0000e+00   -6.3668e+00  5.6250e-08   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4567e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
10         LSB  -7.1150e+00  0.0000e+00   -7.1150e+00  5.6250e-08   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.4544e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
