#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
528000	62531.9609375	10171.7194075	120.827180071	6749.99980563	0.00166053883015	8.9e+03
532000	62557.2851562	10117.9650952	120.18864673	6749.99980563	0.00166053883015	8.9e+03
536000	62558.5703125	10144.2273268	120.500608873	6749.99980563	0.00166053883015	8.9e+03
540000	62529.2578125	10181.814172	120.947093123	6749.99980563	0.00166053883015	8.9e+03
544000	62530.296875	10163.1617042	120.725525364	6749.99980563	0.00166053883015	8.9e+03
548000	62575.328125	10242.8501979	121.672124024	6749.99980563	0.00166053883015	8.9e+03
552000	62564.6484375	9993.96221644	118.715649141	6749.99980563	0.00166053883015	8.9e+03
556000	62556.921875	10170.9004668	120.817452089	6749.99980563	0.00166053883015	8.9e+03
560000	62582.7382812	10179.3193035	120.917457236	6749.99980563	0.00166053883015	8.9e+03
564000	62535.2773438	10169.8444046	120.804907404	6749.99980563	0.00166053883015	8.9e+03
568000	62539.2070312	10119.9650547	120.212403723	6749.99980563	0.00166053883015	8.9e+03
572000	62520.6601562	10335.0331348	122.767140892	6749.99980563	0.00166053883015	8.9e+03
576000	62528.8632812	10197.4495914	121.132822159	6749.99980563	0.00166053883015	8.9e+03
580000	62560.0390625	10060.2726214	119.503333004	6749.99980563	0.00166053883015	8.9e+03
584000	62555.0429688	10212.4683335	121.311225847	6749.99980563	0.00166053883015	8.9e+03
588000	62518.75	10135.5034524	120.396980263	6749.99980563	0.00166053883015	8.9e+03
592000	62584.9453125	10059.968969	119.499725997	6749.99980563	0.00166053883015	8.9e+03
596000	62526.5429688	10054.1359066	119.430436583	6749.99980563	0.00166053883015	8.9e+03
600000	62527.796875	10102.4292841	120.004100915	6749.99980563	0.00166053883015	8.89e+03
604000	62549.09375	10083.4107179	119.778184368	6749.99980563	0.00166053883015	8.89e+03
608000	62535.8359375	10236.3216892	121.594573586	6749.99980563	0.00166053883015	8.89e+03
612000	62551.8828125	10096.4964914	119.933626831	6749.99980563	0.00166053883015	8.89e+03
