Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     AA:Epsilon           AA:Sigma             AA:B                 AA:Kappa             AA:Dist0             BB:Epsilon           BB:Sigma             BB:B                 BB:Kappa             BB:Dist0             AB:Epsilon           AB:Sigma             AB:B                 AB:Kappa             AB:Dist0             Uext:UConst          Uext:NPeriods       
16         LSB  -2.8918e+00  0.0000e+00   -2.8918e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2770e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
17         LSB  -3.0114e+00  0.0000e+00   -3.0114e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2751e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
18         LSB  -3.2072e+00  0.0000e+00   -3.2072e+00  2.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2713e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
19         LSB  -3.3517e+00  0.0000e+00   -3.3517e+00  2.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2674e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
20         LSB  -3.5172e+00  0.0000e+00   -3.5172e+00  4.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2598e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
21         LSB  -3.5315e+00  0.0000e+00   -3.5315e+00  8.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2444e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
22         LSB  -3.5482e+00  0.0000e+00   -3.5482e+00  8.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2566e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
23         LSB  -3.5253e+00  0.0000e+00   -3.5253e+00  1.6708e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2591e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
24         SD   -3.5253e+00  0.0000e+00   -3.5253e+00  1.6708e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2591e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
25         LSB  -3.5552e+00  0.0000e+00   -3.5552e+00  1.6708e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2598e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
