#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
4000	58533.3203125	10057.2743204	119.467716976	6750.0	0.00166053878234	0
8000	58464.4570312	10077.1026832	119.703252883	6750.0	0.00166053878234	3.48e+03
12000	58406.3828125	10184.0466391	120.973612012	6750.0	0.00166053878234	3.48e+03
16000	58466.71875	10149.2036269	120.559721033	6750.0	0.00166053878234	3.48e+03
20000	58387.328125	9897.21506156	117.566415129	6750.0	0.00166053878234	3.47e+03
24000	58333.0117188	10020.8499562	119.035041531	6750.0	0.00166053878234	3.48e+03
28000	58483.5273438	10190.059004	121.045031315	6750.0	0.00166053878234	3.48e+03
32000	58355.9726562	10122.8947192	120.247204436	6750.0	0.00166053878234	3.48e+03
36000	58510.140625	10283.8100628	122.158675489	6750.0	0.00166053878234	3.48e+03
40000	58493.8515625	10053.3069527	119.420589658	6750.0	0.00166053878234	3.48e+03
44000	58512.28125	10301.4148981	122.367798698	6750.0	0.00166053878234	3.48e+03
48000	58494.96875	10114.1442052	120.143259383	6750.0	0.00166053878234	3.48e+03
52000	58519.3984375	10172.1695609	120.832527324	6750.0	0.00166053878234	3.48e+03
56000	58440.65625	10061.314658	119.515711083	6750.0	0.00166053878234	3.48e+03
60000	58414.4453125	10042.2210026	119.288902571	6750.0	0.00166053878234	3.48e+03
64000	58436.9609375	10091.2521818	119.871331056	6750.0	0.00166053878234	3.5e+03
68000	58458.8125	10124.2180933	120.26292445	6750.0	0.00166053878234	3.5e+03
72000	58416.9453125	10127.0269973	120.296290681	6750.0	0.00166053878234	3.5e+03
76000	58427.40625	10120.0568452	120.213494079	6750.0	0.00166053878234	3.5e+03
80000	58454.0898438	10073.8381457	119.6644743	6750.0	0.00166053878234	3.49e+03
84000	58377.1328125	10194.1306425	121.093397238	6750.0	0.00166053878234	3.49e+03
88000	58388.1914062	10146.9146301	120.532530642	6750.0	0.00166053878234	3.49e+03
92000	58354.3359375	10108.5687117	120.07702956	6750.0	0.00166053878234	3.49e+03
96000	58338.9375	10015.7938263	118.974981093	6750.0	0.00166053878234	3.49e+03
100000	58517.4375	10027.0340859	119.108501182	6750.0	0.00166053878234	3.49e+03
