#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
324000	58462.515625	10015.5022143	118.971517111	6750.0	0.00166053878234	3.48e+03
328000	58358.1953125	10108.1716754	120.072313271	6750.0	0.00166053878234	3.48e+03
332000	58334.703125	10083.9498696	119.784588809	6750.0	0.00166053878234	3.48e+03
336000	58496.7148438	10146.8438327	120.531689659	6750.0	0.00166053878234	3.48e+03
340000	58482.1640625	9964.94317848	118.37093962	6750.0	0.00166053878234	3.48e+03
344000	58440.3828125	10060.4409457	119.505332484	6750.0	0.00166053878234	3.48e+03
348000	58404.4921875	10164.2830892	120.738846001	6750.0	0.00166053878234	3.48e+03
352000	58560.921875	10069.6172125	119.614334944	6750.0	0.00166053878234	3.48e+03
356000	58430.4609375	10069.264594	119.610146282	6750.0	0.00166053878234	3.48e+03
360000	58425.6953125	10161.8786906	120.710284782	6750.0	0.00166053878234	3.48e+03
364000	58418.1640625	10217.3631225	121.369369759	6750.0	0.00166053878234	3.48e+03
368000	58473.1445312	10095.2709249	119.919068649	6750.0	0.00166053878234	3.48e+03
372000	58351.8945312	10069.5063562	119.613018112	6750.0	0.00166053878234	3.48e+03
376000	58381.1054688	10169.6951792	120.803134795	6750.0	0.00166053878234	3.48e+03
380000	58390.703125	10486.0374195	124.560881081	6750.0	0.00166053878234	3.48e+03
384000	58416.4179688	10293.5448293	122.27431222	6750.0	0.00166053878234	3.48e+03
388000	58411.8984375	10315.7882361	122.538535801	6750.0	0.00166053878234	3.48e+03
392000	58357.171875	10027.1232851	119.109560756	6750.0	0.00166053878234	3.48e+03
396000	58492.5234375	10048.6252818	119.36497732	6750.0	0.00166053878234	3.48e+03
400000	58407.6953125	10209.9211907	121.280969008	6750.0	0.00166053878234	3.48e+03
404000	58483.8125	10293.9182752	122.278748286	6750.0	0.00166053878234	3.48e+03
408000	58396.78125	10116.3225834	120.169135764	6750.0	0.00166053878234	3.48e+03
