
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL AA

arg         target      model       
1.2913e+00  2.6482e+04  2.3256e+04  
1.3411e+00  2.8220e+04  2.5095e+04  
1.3909e+00  2.9913e+04  2.7197e+04  
1.4407e+00  3.1786e+04  2.9130e+04  
1.4905e+00  3.3508e+04  3.1258e+04  
1.5402e+00  3.5439e+04  3.3527e+04  
1.5900e+00  3.7268e+04  3.5737e+04  
1.6398e+00  3.9275e+04  3.8179e+04  
1.6896e+00  4.1289e+04  4.0592e+04  
1.7394e+00  4.3677e+04  4.3144e+04  
1.7891e+00  4.6045e+04  4.5665e+04  
1.8389e+00  4.8413e+04  4.8335e+04  
1.8887e+00  5.1058e+04  5.1052e+04  
1.9385e+00  5.3914e+04  5.3831e+04  
1.9883e+00  5.6811e+04  5.6777e+04  
2.0380e+00  5.9736e+04  5.9763e+04  
2.0878e+00  6.2873e+04  6.2749e+04  
2.1376e+00  6.5884e+04  6.5823e+04  
2.1874e+00  6.9144e+04  6.9089e+04  
2.2372e+00  7.2553e+04  7.2362e+04  
2.2870e+00  7.5865e+04  7.5540e+04  
2.3367e+00  7.9438e+04  7.8901e+04  
2.3865e+00  8.2741e+04  8.2446e+04  
2.4363e+00  8.6223e+04  8.5848e+04  
2.4861e+00  9.0013e+04  8.9499e+04  
2.5359e+00  9.3444e+04  9.3090e+04  
2.5856e+00  9.7093e+04  9.6710e+04  
2.6354e+00  1.0073e+05  1.0065e+05  
2.6852e+00  1.0455e+05  1.0447e+05  
2.7350e+00  1.0824e+05  1.0831e+05  
2.7848e+00  1.1211e+05  1.1226e+05  
2.8345e+00  1.1603e+05  1.1628e+05  
2.8843e+00  1.2014e+05  1.2015e+05  
2.9341e+00  1.2422e+05  1.2447e+05  
2.9839e+00  1.2804e+05  1.2843e+05  
3.0337e+00  1.3261e+05  1.3309e+05  
3.0834e+00  1.3658e+05  1.3715e+05  
3.1332e+00  1.4104e+05  1.4153e+05  
3.1830e+00  1.4528e+05  1.4587e+05  
3.2328e+00  1.4991e+05  1.5052e+05  
3.2826e+00  1.5439e+05  1.5503e+05  
3.3323e+00  1.5909e+05  1.5954e+05  
3.3821e+00  1.6396e+05  1.6401e+05  
3.4319e+00  1.6873e+05  1.6889e+05  
3.4817e+00  1.7346e+05  1.7385e+05  
3.5315e+00  1.7825e+05  1.7827e+05  
3.5813e+00  1.8313e+05  1.8346e+05  
3.6310e+00  1.8843e+05  1.8838e+05  
3.6808e+00  1.9324e+05  1.9324e+05  
3.7306e+00  1.9854e+05  1.9836e+05  
3.7804e+00  2.0363e+05  2.0375e+05  
3.8302e+00  2.0874e+05  2.0886e+05  
3.8799e+00  2.1407e+05  2.1408e+05  
