# bin-midpt	Count	NumberDensity
1.489998579025268555e+00 2.016850000000000165e+01 1.008425000000000068e+03
1.509998559951782227e+00 1.995250000000000057e+01 9.976250000000000000e+02
1.529998540878295898e+00 2.018149999999999977e+01 1.009074999999999932e+03
1.549998521804809570e+00 1.989549999999999841e+01 9.947749999999998636e+02
1.569998502731323242e+00 2.023450000000000060e+01 1.011725000000000023e+03
1.589998483657836914e+00 2.013500000000000156e+01 1.006750000000000114e+03
1.609998464584350586e+00 2.029599999999999937e+01 1.014799999999999955e+03
1.629998445510864258e+00 2.017650000000000077e+01 1.008825000000000045e+03
1.649998426437377930e+00 2.022050000000000125e+01 1.011025000000000091e+03
1.669998407363891602e+00 2.012699999999999889e+01 1.006349999999999909e+03
1.689998388290405273e+00 2.005649999999999977e+01 1.002824999999999932e+03
1.709998369216918945e+00 1.998250000000000171e+01 9.991250000000001137e+02
1.729998350143432617e+00 2.011349999999999838e+01 1.005674999999999955e+03
1.749998331069946289e+00 2.006299999999999883e+01 1.003149999999999977e+03
1.769998311996459961e+00 2.017800000000000082e+01 1.008899999999999977e+03
1.789998292922973633e+00 2.000400000000000134e+01 1.000200000000000045e+03
1.809998273849487305e+00 1.995200000000000173e+01 9.976000000000000227e+02
1.829998254776000977e+00 2.003500000000000014e+01 1.001750000000000000e+03
1.849998235702514648e+00 2.004949999999999832e+01 1.002474999999999909e+03
1.869998216629028320e+00 2.009499999999999886e+01 1.004749999999999886e+03
1.889998197555541992e+00 1.996199999999999974e+01 9.981000000000000227e+02
1.909998178482055664e+00 2.022550000000000026e+01 1.011274999999999977e+03
1.929998159408569336e+00 2.003549999999999898e+01 1.001774999999999977e+03
1.949998140335083008e+00 2.001899999999999835e+01 1.000949999999999932e+03
1.969998121261596680e+00 1.988500000000000156e+01 9.942500000000001137e+02
1.989998102188110352e+00 1.996849999999999881e+01 9.984249999999999545e+02
