Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     Global:Charge(2)     LJGaussAA:Epsilon    LJGaussAA:Sigma      LJGaussAA:B          LJGaussAA:Kappa      LJGaussAA:Dist0      LJGaussBB:Epsilon    LJGaussBB:Sigma      LJGaussBB:B          LJGaussBB:Kappa      LJGaussBB:Dist0      LJGaussAB:Epsilon    LJGaussAB:Sigma      LJGaussAB:B          LJGaussAB:Kappa      LJGaussAB:Dist0      LJGaussAC:Epsilon    LJGaussAC:Sigma      LJGaussAC:B          LJGaussAC:Kappa      LJGaussAC:Dist0      LJGaussBC:Epsilon    LJGaussBC:Sigma      LJGaussBC:B          LJGaussBC:Kappa      LJGaussBC:Dist0      ExtSin:UConst        ExtSin:NPeriods     
11         LSB  -5.2677e-01  0.0000e+00   -5.2677e-01  2.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2711e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
12         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2758e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
13         LSB  -5.2680e-01  0.0000e+00   -5.2680e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2806e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
14         LSP  -5.3877e-01  0.0000e+00   -5.3877e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2758e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
15         LSP  -5.3877e-01  0.0000e+00   -5.3877e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
16         LSG  -5.3705e-01  0.0000e+00   -5.3705e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2777e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
17         LSP  -5.3877e-01  0.0000e+00   -5.3877e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
18         LSP  -5.3877e-01  0.0000e+00   -5.3877e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
19         CG   -5.3877e-01  0.0000e+00   -5.3877e-01  1.5000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
20         LSB  -5.3767e-01  0.0000e+00   -5.3767e-01  1.0000e-01   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2773e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
