
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL LJGaussAA

arg         target      model       
-2.8500e+00 1.2853e+02  1.3094e+02  
-2.5500e+00 1.2763e+02  1.2850e+02  
-2.2500e+00 1.2610e+02  1.2626e+02  
-1.9500e+00 1.2405e+02  1.2434e+02  
-1.6500e+00 1.2201e+02  1.2380e+02  
-1.3500e+00 1.2028e+02  1.2144e+02  
-1.0500e+00 1.1848e+02  1.1891e+02  
-7.5000e-01 1.1604e+02  1.1677e+02  
-4.5000e-01 1.1505e+02  1.1560e+02  
-1.5000e-01 1.1326e+02  1.1510e+02  
1.5000e-01  1.1088e+02  1.0988e+02  
4.5000e-01  1.0963e+02  1.0772e+02  
7.5000e-01  1.0782e+02  1.0577e+02  
1.0500e+00  1.0624e+02  1.0491e+02  
1.3500e+00  1.0438e+02  1.0265e+02  
1.6500e+00  1.0227e+02  1.0169e+02  
1.9500e+00  1.0039e+02  1.0021e+02  
2.2500e+00  9.8488e+01  1.0016e+02  
2.5500e+00  9.7517e+01  9.4335e+01  
2.8500e+00  9.6002e+01  9.4791e+01  
3.1500e+00  9.4842e+01  9.2921e+01  
3.4500e+00  9.3180e+01  9.3169e+01  
3.7500e+00  9.1072e+01  9.0450e+01  
4.0500e+00  9.0575e+01  8.9923e+01  
4.3500e+00  8.9882e+01  8.7793e+01  
4.6500e+00  8.8863e+01  8.7981e+01  
4.9500e+00  8.7265e+01  8.5812e+01  
5.2500e+00  8.7122e+01  8.5446e+01  
5.5500e+00  8.5862e+01  8.4032e+01  
5.8500e+00  8.5025e+01  8.4050e+01  
6.1500e+00  8.4995e+01  8.3219e+01  
6.4500e+00  8.3827e+01  8.1975e+01  
6.7500e+00  8.4448e+01  8.2431e+01  
7.0500e+00  8.3948e+01  8.4033e+01  
7.3500e+00  8.4338e+01  8.3025e+01  
7.6500e+00  8.3945e+01  8.1829e+01  
7.9500e+00  8.3837e+01  8.1589e+01  
8.2500e+00  8.3777e+01  8.2418e+01  
8.5500e+00  8.5143e+01  8.2661e+01  
8.8500e+00  8.5152e+01  8.3021e+01  
9.1500e+00  8.5007e+01  8.4153e+01  
9.4500e+00  8.6268e+01  8.6098e+01  
9.7500e+00  8.6703e+01  8.5587e+01  
1.0050e+01  8.7730e+01  8.6182e+01  
1.0350e+01  8.8635e+01  8.7660e+01  
1.0650e+01  8.9613e+01  8.7765e+01  
1.0950e+01  9.1003e+01  8.9566e+01  
1.1250e+01  9.1947e+01  9.1877e+01  
1.1550e+01  9.3657e+01  9.3639e+01  
1.1850e+01  9.4983e+01  9.3508e+01  
1.2150e+01  9.5748e+01  9.3988e+01  
1.2450e+01  9.7413e+01  9.7881e+01  
1.2750e+01  9.8343e+01  9.7221e+01  
1.3050e+01  1.0064e+02  1.0043e+02  
1.3350e+01  1.0224e+02  1.0234e+02  
1.3650e+01  1.0461e+02  1.0309e+02  
1.3950e+01  1.0565e+02  1.0523e+02  
1.4250e+01  1.0757e+02  1.0673e+02  
1.4550e+01  1.0954e+02  1.0799e+02  
1.4850e+01  1.1167e+02  1.0933e+02  
