
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL LJGaussAA

arg         target      model       
1.4766e+00  2.4579e+04  2.3016e+04  
1.5365e+00  2.6211e+04  2.4977e+04  
1.5964e+00  2.7945e+04  2.7043e+04  
1.6563e+00  2.9804e+04  2.9222e+04  
1.7162e+00  3.1732e+04  3.1394e+04  
1.7761e+00  3.3880e+04  3.3720e+04  
1.8360e+00  3.6089e+04  3.6131e+04  
1.8960e+00  3.8515e+04  3.8778e+04  
1.9559e+00  4.1002e+04  4.1184e+04  
2.0158e+00  4.3670e+04  4.3944e+04  
2.0757e+00  4.6467e+04  4.6647e+04  
2.1356e+00  4.9302e+04  4.9515e+04  
2.1955e+00  5.2265e+04  5.2378e+04  
2.2554e+00  5.5263e+04  5.5383e+04  
2.3153e+00  5.8385e+04  5.8370e+04  
2.3753e+00  6.1488e+04  6.1483e+04  
2.4352e+00  6.4708e+04  6.4674e+04  
2.4951e+00  6.7941e+04  6.7885e+04  
2.5550e+00  7.1221e+04  7.1333e+04  
2.6149e+00  7.4625e+04  7.4708e+04  
2.6748e+00  7.8013e+04  7.8189e+04  
2.7347e+00  8.1505e+04  8.1775e+04  
2.7947e+00  8.5132e+04  8.5427e+04  
2.8546e+00  8.8657e+04  8.9206e+04  
2.9145e+00  9.2338e+04  9.2906e+04  
2.9744e+00  9.6180e+04  9.6916e+04  
3.0343e+00  1.0006e+05  1.0077e+05  
3.0942e+00  1.0396e+05  1.0472e+05  
3.1541e+00  1.0802e+05  1.0884e+05  
3.2140e+00  1.1219e+05  1.1294e+05  
3.2740e+00  1.1642e+05  1.1715e+05  
3.3339e+00  1.2067e+05  1.2161e+05  
3.3938e+00  1.2509e+05  1.2598e+05  
3.4537e+00  1.2960e+05  1.3035e+05  
3.5136e+00  1.3418e+05  1.3491e+05  
3.5735e+00  1.3870e+05  1.3933e+05  
3.6334e+00  1.4340e+05  1.4410e+05  
3.6933e+00  1.4818e+05  1.4865e+05  
3.7533e+00  1.5303e+05  1.5370e+05  
3.8132e+00  1.5791e+05  1.5860e+05  
3.8731e+00  1.6293e+05  1.6346e+05  
3.9330e+00  1.6806e+05  1.6852e+05  
3.9929e+00  1.7318e+05  1.7351e+05  
4.0528e+00  1.7839e+05  1.7875e+05  
4.1127e+00  1.8356e+05  1.8398e+05  
4.1727e+00  1.8902e+05  1.8946e+05  
4.2326e+00  1.9442e+05  1.9496e+05  
4.2925e+00  1.9995e+05  2.0051e+05  
4.3524e+00  2.0557e+05  2.0597e+05  
4.4123e+00  2.1127e+05  2.1179e+05  
4.4722e+00  2.1696e+05  2.1741e+05  
