========POTENTIAL SUMMARIES========
POTENTIAL LJGaussAA
arg          val          deriv       
  1.2000e+00   2.9648e-01  -1.7789e-01
  1.2600e+00   2.8574e-01  -1.8001e-01
  1.3200e+00   2.7489e-01  -1.8143e-01
  1.3800e+00   2.6398e-01  -1.8215e-01
  1.4400e+00   2.5304e-01  -1.8219e-01
  1.5000e+00   2.4213e-01  -1.8160e-01
  1.5600e+00   2.3127e-01  -1.8039e-01
  1.6200e+00   2.2049e-01  -1.7860e-01
  1.6800e+00   2.0984e-01  -1.7627e-01
  1.7400e+00   1.9935e-01  -1.7344e-01
  1.8000e+00   1.8904e-01  -1.7014e-01
  1.8600e+00   1.7894e-01  -1.6642e-01
  1.9200e+00   1.6908e-01  -1.6232e-01
  1.9800e+00   1.5947e-01  -1.5788e-01
  2.0400e+00   1.5014e-01  -1.5314e-01
  2.1000e+00   1.4110e-01  -1.4815e-01
  2.1600e+00   1.3237e-01  -1.4295e-01
  2.2200e+00   1.2395e-01  -1.3758e-01
  2.2800e+00   1.1586e-01  -1.3208e-01
  2.3400e+00   1.0810e-01  -1.2648e-01
  2.4000e+00   1.0068e-01  -1.2082e-01
  2.4600e+00   9.3603e-02  -1.1513e-01
  2.5200e+00   8.6866e-02  -1.0945e-01
  2.5800e+00   8.0469e-02  -1.0380e-01
  2.6400e+00   7.4408e-02  -9.8219e-02
  2.7000e+00   6.8681e-02  -9.2719e-02
  2.7600e+00   6.3280e-02  -8.7326e-02
  2.8200e+00   5.8199e-02  -8.2060e-02
  2.8800e+00   5.3430e-02  -7.6939e-02
  2.9400e+00   4.8963e-02  -7.1976e-02
  3.0000e+00   4.4789e-02  -6.7184e-02
  3.0600e+00   4.0897e-02  -6.2573e-02
  3.1200e+00   3.7277e-02  -5.8152e-02
  3.1800e+00   3.3915e-02  -5.3925e-02
  3.2400e+00   3.0802e-02  -4.9899e-02
  3.3000e+00   2.7923e-02  -4.6074e-02
  3.3600e+00   2.5269e-02  -4.2451e-02
  3.4200e+00   2.2825e-02  -3.9031e-02
  3.4800e+00   2.0581e-02  -3.5811e-02
  3.5400e+00   1.8524e-02  -3.2787e-02
  3.6000e+00   1.6643e-02  -2.9957e-02
  3.6600e+00   1.4925e-02  -2.7314e-02
  3.7200e+00   1.3361e-02  -2.4852e-02
  3.7800e+00   1.1940e-02  -2.2566e-02
  3.8400e+00   1.0650e-02  -2.0448e-02
  3.9000e+00   9.4827e-03  -1.8491e-02
  3.9600e+00   8.4281e-03  -1.6688e-02
  4.0200e+00   7.4773e-03  -1.5029e-02
  4.0800e+00   6.6218e-03  -1.3508e-02
  4.1400e+00   5.8537e-03  -1.2117e-02
  4.2000e+00   5.1653e-03  -1.0847e-02
  4.2600e+00   4.5497e-03  -9.6909e-03
  4.3200e+00   4.0003e-03  -8.6406e-03
  4.3800e+00   3.5109e-03  -7.6888e-03
  4.4400e+00   3.0758e-03  -6.8283e-03
  4.5000e+00   2.6898e-03  -6.0521e-03
  4.5600e+00   2.3480e-03  -5.3535e-03
  4.6200e+00   2.0460e-03  -4.7262e-03
  4.6800e+00   1.7796e-03  -4.1642e-03
  4.7400e+00   1.5451e-03  -3.6618e-03
  4.8000e+00   1.3391e-03  -3.2137e-03
  4.8600e+00   1.1584e-03  -2.8150e-03
  4.9200e+00   1.0004e-03  -2.4609e-03
  4.9800e+00   8.6232e-04  -2.1472e-03
  5.0400e+00   7.4198e-04  -1.8698e-03
  5.1000e+00   6.3729e-04  -1.6251e-03
  5.1600e+00   5.4638e-04  -1.4097e-03
  5.2200e+00   4.6760e-04  -1.2204e-03
  5.2800e+00   3.9946e-04  -1.0546e-03
  5.3400e+00   3.4064e-04  -9.0951e-04
  5.4000e+00   2.8995e-04  -7.8288e-04
  5.4600e+00   2.4637e-04  -6.7258e-04
  5.5200e+00   2.0896e-04  -5.7672e-04
  5.5800e+00   1.7691e-04  -4.9357e-04
  5.6400e+00   1.4950e-04  -4.2160e-04
  5.7000e+00   1.2612e-04  -3.5944e-04
  5.7600e+00   1.0620e-04  -3.0586e-04
  5.8200e+00   8.9266e-05  -2.5976e-04
  5.8800e+00   7.4898e-05  -2.2020e-04
  5.9400e+00   6.2729e-05  -1.8630e-04


POTENTIAL LJGaussAB
arg          val          deriv       
  0.0000e+00  1.0000e+300 -1.0000e+300
  6.0000e-02   4.2720e-01  -1.2816e-02
  1.2000e-01   4.2605e-01  -2.5563e-02
  1.8000e-01   4.2414e-01  -3.8172e-02
  2.4000e-01   4.2147e-01  -5.0577e-02
  3.0000e-01   4.1807e-01  -6.2711e-02
  3.6000e-01   4.1396e-01  -7.4512e-02
  4.2000e-01   4.0914e-01  -8.5920e-02
  4.8000e-01   4.0365e-01  -9.6877e-02
  5.4000e-01   3.9753e-01  -1.0733e-01
  6.0000e-01   3.9079e-01  -1.1724e-01
  6.6000e-01   3.8347e-01  -1.2654e-01
  7.2000e-01   3.7561e-01  -1.3522e-01
  7.8000e-01   3.6726e-01  -1.4323e-01
  8.4000e-01   3.5844e-01  -1.5054e-01
  9.0000e-01   3.4920e-01  -1.5714e-01
  9.6000e-01   3.3960e-01  -1.6301e-01
  1.0200e+00   3.2966e-01  -1.6813e-01
  1.0800e+00   3.1944e-01  -1.7250e-01
  1.1400e+00   3.0897e-01  -1.7612e-01
  1.2000e+00   2.9832e-01  -1.7899e-01
  1.2600e+00   2.8751e-01  -1.8113e-01
  1.3200e+00   2.7660e-01  -1.8255e-01
  1.3800e+00   2.6562e-01  -1.8328e-01
  1.4400e+00   2.5462e-01  -1.8332e-01
  1.5000e+00   2.4363e-01  -1.8272e-01
  1.5600e+00   2.3270e-01  -1.8151e-01
  1.6200e+00   2.2186e-01  -1.7971e-01
  1.6800e+00   2.1115e-01  -1.7736e-01
  1.7400e+00   2.0059e-01  -1.7451e-01
  1.8000e+00   1.9022e-01  -1.7119e-01
  1.8600e+00   1.8005e-01  -1.6745e-01
  1.9200e+00   1.7013e-01  -1.6332e-01
  1.9800e+00   1.6046e-01  -1.5886e-01
  2.0400e+00   1.5107e-01  -1.5409e-01
  2.1000e+00   1.4198e-01  -1.4907e-01
  2.1600e+00   1.3319e-01  -1.4384e-01
  2.2200e+00   1.2472e-01  -1.3844e-01
  2.2800e+00   1.1658e-01  -1.3290e-01
  2.3400e+00   1.0877e-01  -1.2726e-01
  2.4000e+00   1.0131e-01  -1.2157e-01
  2.4600e+00   9.4185e-02  -1.1585e-01
  2.5200e+00   8.7406e-02  -1.1013e-01
  2.5800e+00   8.0968e-02  -1.0445e-01
  2.6400e+00   7.4870e-02  -9.8829e-02
  2.7000e+00   6.9107e-02  -9.3295e-02
  2.7600e+00   6.3673e-02  -8.7869e-02
  2.8200e+00   5.8560e-02  -8.2570e-02
  2.8800e+00   5.3762e-02  -7.7417e-02
  2.9400e+00   4.9267e-02  -7.2423e-02
  3.0000e+00   4.5067e-02  -6.7601e-02
  3.0600e+00   4.1151e-02  -6.2962e-02
  3.1200e+00   3.7508e-02  -5.8513e-02
  3.1800e+00   3.4126e-02  -5.4260e-02
  3.2400e+00   3.0993e-02  -5.0209e-02
  3.3000e+00   2.8097e-02  -4.6360e-02
  3.3600e+00   2.5426e-02  -4.2715e-02
  3.4200e+00   2.2967e-02  -3.9274e-02
  3.4800e+00   2.0709e-02  -3.6033e-02
  3.5400e+00   1.8639e-02  -3.2991e-02
  3.6000e+00   1.6746e-02  -3.0143e-02
  3.6600e+00   1.5018e-02  -2.7483e-02
  3.7200e+00   1.3444e-02  -2.5006e-02
  3.7800e+00   1.2014e-02  -2.2706e-02
  3.8400e+00   1.0716e-02  -2.0575e-02
  3.9000e+00   9.5416e-03  -1.8606e-02
  3.9600e+00   8.4804e-03  -1.6791e-02
  4.0200e+00   7.5237e-03  -1.5123e-02
  4.0800e+00   6.6629e-03  -1.3592e-02
  4.1400e+00   5.8900e-03  -1.2192e-02
  4.2000e+00   5.1974e-03  -1.0915e-02
  4.2600e+00   4.5780e-03  -9.7511e-03
  4.3200e+00   4.0251e-03  -8.6943e-03
  4.3800e+00   3.5327e-03  -7.7366e-03
  4.4400e+00   3.0949e-03  -6.8707e-03
  4.5000e+00   2.7065e-03  -6.0896e-03
  4.5600e+00   2.3626e-03  -5.3867e-03
  4.6200e+00   2.0587e-03  -4.7555e-03
  4.6800e+00   1.7906e-03  -4.1900e-03
  4.7400e+00   1.5547e-03  -3.6846e-03
  4.8000e+00   1.3474e-03  -3.2337e-03
  4.8600e+00   1.1656e-03  -2.8325e-03
  4.9200e+00   1.0066e-03  -2.4762e-03
  4.9800e+00   8.6767e-04  -2.1605e-03
  5.0400e+00   7.4659e-04  -1.8814e-03
  5.1000e+00   6.4125e-04  -1.6352e-03
  5.1600e+00   5.4978e-04  -1.4184e-03
  5.2200e+00   4.7051e-04  -1.2280e-03
  5.2800e+00   4.0194e-04  -1.0611e-03
  5.3400e+00   3.4275e-04  -9.1515e-04
  5.4000e+00   2.9175e-04  -7.8774e-04
  5.4600e+00   2.4790e-04  -6.7676e-04
  5.5200e+00   2.1025e-04  -5.8030e-04
  5.5800e+00   1.7801e-04  -4.9664e-04
  5.6400e+00   1.5043e-04  -4.2422e-04
  5.7000e+00   1.2690e-04  -3.6167e-04
  5.7600e+00   1.0686e-04  -3.0776e-04
  5.8200e+00   8.9821e-05  -2.6138e-04
  5.8800e+00   7.5363e-05  -2.2157e-04
  5.9400e+00   6.3119e-05  -1.8746e-04


POTENTIAL LJGaussAC
arg          val          deriv       
  0.0000e+00  1.0000e+300 -1.0000e+300
  6.0000e-02   4.1918e-01  -1.2575e-02
  1.2000e-01   4.1805e-01  -2.5083e-02
  1.8000e-01   4.1618e-01  -3.7456e-02
  2.4000e-01   4.1356e-01  -4.9627e-02
  3.0000e-01   4.1023e-01  -6.1534e-02
  3.6000e-01   4.0618e-01  -7.3113e-02
  4.2000e-01   4.0146e-01  -8.4307e-02
  4.8000e-01   3.9608e-01  -9.5058e-02
  5.4000e-01   3.9006e-01  -1.0532e-01
  6.0000e-01   3.8345e-01  -1.1503e-01
  6.6000e-01   3.7627e-01  -1.2417e-01
  7.2000e-01   3.6856e-01  -1.3268e-01
  7.8000e-01   3.6036e-01  -1.4054e-01
  8.4000e-01   3.5171e-01  -1.4772e-01
  9.0000e-01   3.4265e-01  -1.5419e-01
  9.6000e-01   3.3322e-01  -1.5995e-01
  1.0200e+00   3.2347e-01  -1.6497e-01
  1.0800e+00   3.1344e-01  -1.6926e-01
  1.1400e+00   3.0317e-01  -1.7281e-01
  1.2000e+00   2.9272e-01  -1.7563e-01
  1.2600e+00   2.8211e-01  -1.7773e-01
  1.3200e+00   2.7140e-01  -1.7913e-01
  1.3800e+00   2.6063e-01  -1.7984e-01
  1.4400e+00   2.4984e-01  -1.7988e-01
  1.5000e+00   2.3906e-01  -1.7929e-01
  1.5600e+00   2.2833e-01  -1.7810e-01
  1.6200e+00   2.1770e-01  -1.7634e-01
  1.6800e+00   2.0718e-01  -1.7403e-01
  1.7400e+00   1.9682e-01  -1.7124e-01
  1.8000e+00   1.8664e-01  -1.6798e-01
  1.8600e+00   1.7667e-01  -1.6431e-01
  1.9200e+00   1.6694e-01  -1.6026e-01
  1.9800e+00   1.5745e-01  -1.5588e-01
  2.0400e+00   1.4824e-01  -1.5120e-01
  2.1000e+00   1.3931e-01  -1.4628e-01
  2.1600e+00   1.3069e-01  -1.4114e-01
  2.2200e+00   1.2238e-01  -1.3584e-01
  2.2800e+00   1.1439e-01  -1.3040e-01
  2.3400e+00   1.0673e-01  -1.2487e-01
  2.4000e+00   9.9406e-02  -1.1929e-01
  2.4600e+00   9.2417e-02  -1.1367e-01
  2.5200e+00   8.5765e-02  -1.0806e-01
  2.5800e+00   7.9448e-02  -1.0249e-01
  2.6400e+00   7.3465e-02  -9.6974e-02
  2.7000e+00   6.7810e-02  -9.1543e-02
  2.7600e+00   6.2478e-02  -8.6219e-02
  2.8200e+00   5.7461e-02  -8.1020e-02
  2.8800e+00   5.2752e-02  -7.5963e-02
  2.9400e+00   4.8342e-02  -7.1063e-02
  3.0000e+00   4.4221e-02  -6.6332e-02
  3.0600e+00   4.0379e-02  -6.1780e-02
  3.1200e+00   3.6804e-02  -5.7414e-02
  3.1800e+00   3.3485e-02  -5.3242e-02
  3.2400e+00   3.0411e-02  -4.9266e-02
  3.3000e+00   2.7569e-02  -4.5490e-02
  3.3600e+00   2.4948e-02  -4.1913e-02
  3.4200e+00   2.2536e-02  -3.8536e-02
  3.4800e+00   2.0320e-02  -3.5357e-02
  3.5400e+00   1.8289e-02  -3.2372e-02
  3.6000e+00   1.6432e-02  -2.9577e-02
  3.6600e+00   1.4736e-02  -2.6967e-02
  3.7200e+00   1.3192e-02  -2.4537e-02
  3.7800e+00   1.1788e-02  -2.2280e-02
  3.8400e+00   1.0515e-02  -2.0189e-02
  3.9000e+00   9.3625e-03  -1.8257e-02
  3.9600e+00   8.3212e-03  -1.6476e-02
  4.0200e+00   7.3825e-03  -1.4839e-02
  4.0800e+00   6.5378e-03  -1.3337e-02
  4.1400e+00   5.7794e-03  -1.1963e-02
  4.2000e+00   5.0998e-03  -1.0710e-02
  4.2600e+00   4.4920e-03  -9.5681e-03
  4.3200e+00   3.9496e-03  -8.5311e-03
  4.3800e+00   3.4664e-03  -7.5913e-03
  4.4400e+00   3.0368e-03  -6.7417e-03
  4.5000e+00   2.6557e-03  -5.9753e-03
  4.5600e+00   2.3182e-03  -5.2856e-03
  4.6200e+00   2.0200e-03  -4.6662e-03
  4.6800e+00   1.7570e-03  -4.1114e-03
  4.7400e+00   1.5255e-03  -3.6154e-03
  4.8000e+00   1.3221e-03  -3.1730e-03
  4.8600e+00   1.1437e-03  -2.7793e-03
  4.9200e+00   9.8768e-04  -2.4297e-03
  4.9800e+00   8.5138e-04  -2.1199e-03
  5.0400e+00   7.3257e-04  -1.8461e-03
  5.1000e+00   6.2921e-04  -1.6045e-03
  5.1600e+00   5.3946e-04  -1.3918e-03
  5.2200e+00   4.6168e-04  -1.2050e-03
  5.2800e+00   3.9440e-04  -1.0412e-03
  5.3400e+00   3.3632e-04  -8.9797e-04
  5.4000e+00   2.8628e-04  -7.7295e-04
  5.4600e+00   2.4324e-04  -6.6405e-04
  5.5200e+00   2.0631e-04  -5.6941e-04
  5.5800e+00   1.7466e-04  -4.8731e-04
  5.6400e+00   1.4761e-04  -4.1626e-04
  5.7000e+00   1.2452e-04  -3.5488e-04
  5.7600e+00   1.0485e-04  -3.0198e-04
  5.8200e+00   8.8134e-05  -2.5647e-04
  5.8800e+00   7.3948e-05  -2.1741e-04
  5.9400e+00   6.1934e-05  -1.8394e-04


POTENTIAL LJGaussBC
arg          val          deriv       
  0.0000e+00  1.0000e+300 -1.0000e+300
  6.0000e-02   4.1918e-01  -1.2575e-02
  1.2000e-01   4.1805e-01  -2.5083e-02
  1.8000e-01   4.1618e-01  -3.7456e-02
  2.4000e-01   4.1356e-01  -4.9627e-02
  3.0000e-01   4.1023e-01  -6.1534e-02
  3.6000e-01   4.0618e-01  -7.3113e-02
  4.2000e-01   4.0146e-01  -8.4307e-02
  4.8000e-01   3.9608e-01  -9.5058e-02
  5.4000e-01   3.9006e-01  -1.0532e-01
  6.0000e-01   3.8345e-01  -1.1503e-01
  6.6000e-01   3.7627e-01  -1.2417e-01
  7.2000e-01   3.6856e-01  -1.3268e-01
  7.8000e-01   3.6036e-01  -1.4054e-01
  8.4000e-01   3.5171e-01  -1.4772e-01
  9.0000e-01   3.4265e-01  -1.5419e-01
  9.6000e-01   3.3322e-01  -1.5995e-01
  1.0200e+00   3.2347e-01  -1.6497e-01
  1.0800e+00   3.1344e-01  -1.6926e-01
  1.1400e+00   3.0317e-01  -1.7281e-01
  1.2000e+00   2.9272e-01  -1.7563e-01
  1.2600e+00   2.8211e-01  -1.7773e-01
  1.3200e+00   2.7140e-01  -1.7913e-01
  1.3800e+00   2.6063e-01  -1.7984e-01
  1.4400e+00   2.4984e-01  -1.7988e-01
  1.5000e+00   2.3906e-01  -1.7929e-01
  1.5600e+00   2.2833e-01  -1.7810e-01
  1.6200e+00   2.1770e-01  -1.7634e-01
  1.6800e+00   2.0718e-01  -1.7403e-01
  1.7400e+00   1.9682e-01  -1.7124e-01
  1.8000e+00   1.8664e-01  -1.6798e-01
  1.8600e+00   1.7667e-01  -1.6431e-01
  1.9200e+00   1.6694e-01  -1.6026e-01
  1.9800e+00   1.5745e-01  -1.5588e-01
  2.0400e+00   1.4824e-01  -1.5120e-01
  2.1000e+00   1.3931e-01  -1.4628e-01
  2.1600e+00   1.3069e-01  -1.4114e-01
  2.2200e+00   1.2238e-01  -1.3584e-01
  2.2800e+00   1.1439e-01  -1.3040e-01
  2.3400e+00   1.0673e-01  -1.2487e-01
  2.4000e+00   9.9406e-02  -1.1929e-01
  2.4600e+00   9.2417e-02  -1.1367e-01
  2.5200e+00   8.5765e-02  -1.0806e-01
  2.5800e+00   7.9448e-02  -1.0249e-01
  2.6400e+00   7.3465e-02  -9.6974e-02
  2.7000e+00   6.7810e-02  -9.1543e-02
  2.7600e+00   6.2478e-02  -8.6219e-02
  2.8200e+00   5.7461e-02  -8.1020e-02
  2.8800e+00   5.2752e-02  -7.5963e-02
  2.9400e+00   4.8342e-02  -7.1063e-02
  3.0000e+00   4.4221e-02  -6.6332e-02
  3.0600e+00   4.0379e-02  -6.1780e-02
  3.1200e+00   3.6804e-02  -5.7414e-02
  3.1800e+00   3.3485e-02  -5.3242e-02
  3.2400e+00   3.0411e-02  -4.9266e-02
  3.3000e+00   2.7569e-02  -4.5490e-02
  3.3600e+00   2.4948e-02  -4.1913e-02
  3.4200e+00   2.2536e-02  -3.8536e-02
  3.4800e+00   2.0320e-02  -3.5357e-02
  3.5400e+00   1.8289e-02  -3.2372e-02
  3.6000e+00   1.6432e-02  -2.9577e-02
  3.6600e+00   1.4736e-02  -2.6967e-02
  3.7200e+00   1.3192e-02  -2.4537e-02
  3.7800e+00   1.1788e-02  -2.2280e-02
  3.8400e+00   1.0515e-02  -2.0189e-02
  3.9000e+00   9.3625e-03  -1.8257e-02
