#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
10200	43349.8671875	2914.395409165416	46264.262596665416	116.8402613336095	2.0	19.926465388026116	4.4e+03
10300	43360.8984375	2978.1402476942167	46339.03868519422	119.395838922344	2.0	19.926465388026116	4.39e+03
10400	43374.8828125	2995.691928162938	46370.57474066294	120.099498736781	2.0	19.926465388026116	4.39e+03
10500	43362.72265625	2899.4856099700555	46262.208266220056	116.24251648782126	2.0	19.926465388026116	4.38e+03
10600	43375.78125	2876.803985364735	46252.585235364735	115.33319342959034	2.0	19.926465388026116	4.37e+03
10700	43378.7421875	3004.32051820535	46383.06270570535	120.44542527520657	2.0	19.926465388026116	4.35e+03
10800	43357.33203125	2975.9938233001158	46333.325854550116	119.30978718538651	2.0	19.926465388026116	4.34e+03
10900	43349.62109375	2988.3528121211566	46337.97390587116	119.80526816203378	2.0	19.926465388026116	4.34e+03
11000	43357.87890625	2982.5477448103484	46340.42665106035	119.57253873227934	2.0	19.926465388026116	4.31e+03
11100	43362.1796875	2962.267274426762	46324.44696192676	118.75947971766013	2.0	19.926465388026116	4.31e+03
11200	43355.1875	2950.052140614018	46305.23964061402	118.26976599438922	2.0	19.926465388026116	4.3e+03
11300	43388.1953125	2944.177903420641	46332.37321592064	118.0342634930295	2.0	19.926465388026116	4.3e+03
11400	43371.828125	2951.457667130977	46323.28579213098	118.32611458903645	2.0	19.926465388026116	4.3e+03
11500	43390.5859375	3107.685506322887	46498.27144382289	124.58940388099808	2.0	19.926465388026116	4.29e+03
11600	43360.234375	3045.725141933188	46405.95951693319	122.10536717655816	2.0	19.926465388026116	4.29e+03
11700	43354.890625	3014.840067862533	46369.73069286253	120.86716177917985	2.0	19.926465388026116	4.28e+03
11800	43373.484375	3000.6079068275867	46374.09228182759	120.2965839470039	2.0	19.926465388026116	4.28e+03
11900	43342.265625	3045.650724891573	46387.91634989157	122.1023837424769	2.0	19.926465388026116	4.27e+03
12000	43371.1640625	3008.3059187196195	46379.46998121962	120.60520292107506	2.0	19.926465388026116	4.26e+03
12100	43363.26953125	3013.3344149813056	46376.603946231306	120.80679904474543	2.0	19.926465388026116	4.25e+03
12200	43351.8203125	2919.325667864294	46271.145980364294	117.03791904093623	2.0	19.926465388026116	4.24e+03
12300	43348.0234375	3011.8258168785833	46359.84925437858	120.74631823420918	2.0	19.926465388026116	4.23e+03
12400	43367.5	3007.2051814347506	46374.70518143475	120.56107355152581	2.0	19.926465388026116	4.22e+03
12500	43365.3828125	2993.7968786124547	46359.179691112455	120.02352480269428	2.0	19.926465388026116	4.22e+03
12600	43370.21875	3013.4522814499214	46383.67103144992	120.81152439839931	2.0	19.926465388026116	4.22e+03
12700	43355.15625	2897.148166959174	46252.304416959174	116.14880667363992	2.0	19.926465388026116	4.22e+03
12800	43344.8203125	2918.1440672157332	46262.96437971573	116.99054779949947	2.0	19.926465388026116	4.22e+03
12900	43373.77734375	3033.872644500807	46407.64998825081	121.63019181322203	2.0	19.926465388026116	4.23e+03
13000	43364.22265625	3024.141625635326	46388.364281885326	121.24006809023324	2.0	19.926465388026116	4.23e+03
13100	43353.0546875	2944.5983318807557	46297.653019380756	118.05111878006343	2.0	19.926465388026116	4.23e+03
13200	43359.6484375	2928.2666416373104	46287.91507913731	117.39636927350622	2.0	19.926465388026116	4.24e+03
13300	43355.859375	3033.865159782581	46389.72453478258	121.62989174534835	2.0	19.926465388026116	4.24e+03
13400	43345.18359375	2965.9709842251614	46311.15457797516	118.90796417498116	2.0	19.926465388026116	4.25e+03
13500	43343.55859375	2985.2384522878565	46328.79704603786	119.68041117946191	2.0	19.926465388026116	4.26e+03
13600	43370.15234375	2955.794116296456	46325.946460046456	118.49996603423195	2.0	19.926465388026116	4.25e+03
13700	43375.71875	3040.3073013229296	46416.02605132293	121.88816195081026	2.0	19.926465388026116	4.26e+03
13800	43363.51953125	3141.007651256863	46504.52718250686	125.92531324663805	2.0	19.926465388026116	4.26e+03
13900	43362.40234375	3009.3989833365194	46371.80132708652	120.64902468770681	2.0	19.926465388026116	4.27e+03
14000	43347.1015625	3040.2584190795897	46387.35998157959	121.88620222562388	2.0	19.926465388026116	4.27e+03
14100	43342.76953125	3004.3426715256646	46347.112202775665	120.44631341815618	2.0	19.926465388026116	4.27e+03
14200	43363.6484375	2984.0500449547544	46347.698482454754	119.63276705302192	2.0	19.926465388026116	4.28e+03
14300	43369.13671875	3033.7500616861507	46402.88678043615	121.62527737777707	2.0	19.926465388026116	4.28e+03
14400	43347.5	2956.4470638621133	46303.94706386211	118.526143183691	2.0	19.926465388026116	4.29e+03
14500	43380.296875	2947.0646860497072	46327.36156104971	118.14999673764439	2.0	19.926465388026116	4.3e+03
14600	43337.0390625	3007.3826254662126	46344.42168796621	120.56818741361292	2.0	19.926465388026116	4.31e+03
14700	43353.4296875	3038.415873856051	46391.84556135605	121.81233322872654	2.0	19.926465388026116	4.31e+03
14800	43356.1328125	3051.739966552239	46407.87277905224	122.34650593149703	2.0	19.926465388026116	4.32e+03
14900	43370.375	3103.4042819330352	46473.779281933035	124.41776643778603	2.0	19.926465388026116	4.32e+03
15000	43374.15625	2956.965381928021	46331.12163192802	118.54692293721523	2.0	19.926465388026116	4.33e+03
15100	43366.4140625	2957.1242428063415	46323.53830530634	118.55329178698773	2.0	19.926465388026116	4.33e+03
15200	43387.9375	2986.2009177841246	46374.138417784125	119.71899713103008	2.0	19.926465388026116	4.34e+03
15300	43366.265625	2964.267416938208	46330.53304193821	118.83966690605841	2.0	19.926465388026116	4.34e+03
15400	43369.5625	3020.5479671079665	46390.11046710797	121.0959956695315	2.0	19.926465388026116	4.35e+03
15500	43341.625	2997.33229181543	46338.95729181543	120.16526212538523	2.0	19.926465388026116	4.34e+03
15600	43344.4375	3041.2465472277254	46385.684047227725	121.92581701183175	2.0	19.926465388026116	4.34e+03
15700	43377.625	2995.6017297650687	46373.22672976507	120.09588261648868	2.0	19.926465388026116	4.33e+03
15800	43362.78515625	2943.987491693959	46306.77264794396	118.02662974647727	2.0	19.926465388026116	4.34e+03
15900	43369.34375	2985.686151369475	46355.029901369475	119.69835976582415	2.0	19.926465388026116	4.34e+03
16000	43358.75	3037.8214840911096	46396.57148409111	121.78850370468483	2.0	19.926465388026116	4.34e+03
16100	43360.28125	3070.573160201311	46430.85441020131	123.10154255445626	2.0	19.926465388026116	4.33e+03
16200	43362.234375	3041.0800414299592	46403.31441642996	121.9191416716005	2.0	19.926465388026116	4.33e+03
16300	43396.65625	2979.2391329291277	46375.89538292913	119.43989404184454	2.0	19.926465388026116	4.32e+03
16400	43367.6875	2907.52708045952	46275.21458045952	116.56490497036579	2.0	19.926465388026116	4.31e+03
16500	43367.015625	2980.008854320273	46347.02447932027	119.47075274008866	2.0	19.926465388026116	4.31e+03
16600	43372.453125	3015.919671627227	46388.37279662723	120.91044389031923	2.0	19.926465388026116	4.31e+03
16700	43367.109375	3014.564955621958	46381.67433062196	120.85613232655864	2.0	19.926465388026116	4.3e+03
16800	43360.2265625	3058.855029249564	46419.081591749564	122.63175404242463	2.0	19.926465388026116	4.3e+03
16900	43356.75	3094.9667826285586	46451.71678262856	124.07950086797459	2.0	19.926465388026116	4.3e+03
